Dataset,method,ari,mi,nmi,ami,hom,vme,average,jaccard 1,jaccard 2,moran I
4_Human_Lymph_Node,SpatialGlue,0.21004617533867434,0.6834767769895038,0.3535689756498894,0.34947469081270865,0.4051423585800006,0.3535689756498894,0.3925463255034443,0.02216913505710032,0.10900780282254276,0.5047450136908099
4_Human_Lymph_Node,SpatialGlue,0.2537993545865133,0.6823805391050608,0.37740343748453054,0.3732019883702557,0.4044925451305601,0.37740343748453054,0.4114468836935752,0.016922457783041127,0.10547636707894711,0.5079611920020184
4_Human_Lymph_Node,SpatialGlue,0.24530854418423048,0.6845766732366134,0.37183794457376523,0.36767977024491466,0.40579434058546104,0.3718379445737652,0.40783920289979164,0.01808581561451419,0.10244892953882236,0.48428846202009107
4_Human_Lymph_Node,SpatialGlue,0.23692855928206855,0.6891796997028975,0.3673112014598654,0.36318700107046586,0.40852286196605675,0.36731120145986546,0.40540675415686994,0.021677933971747547,0.09360391364190543,0.47035607821565223
4_Human_Lymph_Node,SpatialGlue,0.2562080669456431,0.7151139103029396,0.37850523341137665,0.37447898776125743,0.4238958016242141,0.3785052334113767,0.42111787224280123,0.019160711026767648,0.09515527486405947,0.4540984994403548
4_Human_Lymph_Node,SpatialGlue,0.24858257922066343,0.675491419369476,0.371888987061368,0.36766883398325456,0.4004089035026636,0.371888987061368,0.4059882850331322,0.018063448928411795,0.10665082588604256,0.4871678815493984
4_Human_Lymph_Node,SpatialGlue,0.2490379634523868,0.7063929409682835,0.3810146641955724,0.3769340551331224,0.41872630032687785,0.3810146641955723,0.4188534313786359,0.019020508556140875,0.08660998279456347,0.4659781045874628
4_Human_Lymph_Node,SpatialGlue,0.2347890059357535,0.6816090280063886,0.36474796198336434,0.360597221381704,0.4040352189466867,0.36474796198336434,0.4017543997062103,0.016880320806869412,0.09697017801054951,0.4597346513839279
4_Human_Lymph_Node,SpatialGlue,0.26564244873990756,0.7167228382450618,0.3836225155804065,0.37959016312960053,0.424849520730996,0.38362251558040644,0.4256750003343965,0.01942004883769476,0.1032274853637483,0.5043436400229591
4_Human_Lymph_Node,SpatialGlue,0.23454397101731242,0.6811083708556362,0.36785282900172345,0.36369782508389553,0.4037384459973713,0.36785282900172345,0.4031323784929437,0.01713511580114214,0.10276490589253258,0.4951403920905387
5_Mouse_Brain,SpatialGlue,0.3778980363149084,1.2984634356236522,0.5667373296345268,0.5655754789376555,0.6498710748109086,0.5667373296345269,0.6708804474926965,0.018501708255935462,0.018501708255935462,0.7303298847613602
5_Mouse_Brain,SpatialGlue,0.37622627553611515,1.2961180825038292,0.5665614930535234,0.5653976794113673,0.6486972434106748,0.5665614930535235,0.6699270444948389,0.01885155890925364,0.01885155890925364,0.7343694531840568
5_Mouse_Brain,SpatialGlue,0.398674148144858,1.2504766010283632,0.5537966343776396,0.5525804518732247,0.6258540290323068,0.5537966343776395,0.6558630831390052,0.019448795951228816,0.019448795951228816,0.7083650304251108
5_Mouse_Brain,SpatialGlue,0.371944729526587,1.2996155911393985,0.5663353039802962,0.5651746931505311,0.6504477198844818,0.5663353039802963,0.6699755569435984,0.01868317222590264,0.01868317222590264,0.7393094224898061
5_Mouse_Brain,SpatialGlue,0.38076121515577094,1.3045866334108516,0.5688629890506465,0.5677079642416605,0.652935688736934,0.5688629890506465,0.6739529132744183,0.018523113806129678,0.018523113806129678,0.7398661780339921
5_Mouse_Brain,SpatialGlue,0.3604878539273655,1.2565372365618743,0.5530421666281324,0.5518325418643366,0.6288873310261426,0.5530421666281324,0.6506382161059974,0.019128909194279408,0.019128909194279408,0.7329570114683663
5_Mouse_Brain,SpatialGlue,0.3617558597220711,1.2596694686580918,0.5485416504961951,0.5473338438455894,0.6304549893699052,0.5485416504961951,0.6493829104313412,0.019375059582059415,0.019375059582059415,0.7140168044698529
5_Mouse_Brain,SpatialGlue,0.3863253241368718,1.282930523943379,0.5706733936199702,0.5694970705263734,0.6420969706415804,0.5706733936199702,0.6703661127480242,0.018979668657466205,0.018979668657466205,0.7444370770787728
5_Mouse_Brain,SpatialGlue,0.3836602762755471,1.2573423467899494,0.5502983226108604,0.5490893095384725,0.6292902825724902,0.5502983226108602,0.6533298100663633,0.01913684794819382,0.01913684794819382,0.7164682147723842
5_Mouse_Brain,SpatialGlue,0.36010808869461713,1.2359933743855425,0.5446238320613553,0.5433908164973978,0.6186052842414462,0.5446238320613553,0.6412242046569524,0.01877150195940708,0.01877150195940708,0.6963249411774531
6_Mouse_Embryo,SpatialGlue,0.3041356095510094,1.2594516345802167,0.551945689749696,0.5437359891023049,0.5317904812673592,0.5519456897496959,0.6238341823333803,0.045044502038905886,0.0632029117423119,0.6826201042600445
6_Mouse_Embryo,SpatialGlue,0.3931574616499085,1.3421580704090839,0.5750423122670789,0.5674469134028046,0.5667124219800733,0.5750423122670788,0.6699265819960046,0.037636579406737945,0.07504768502479485,0.7060667153635414
6_Mouse_Embryo,SpatialGlue,0.33048599254660804,1.2636919024489512,0.5559111926148326,0.5477282788311884,0.533580890703263,0.5559111926148326,0.6312182416266126,0.042868454852396806,0.07057893554291508,0.6735693750565533
6_Mouse_Embryo,SpatialGlue,0.2916821986361648,1.2309182252587823,0.5352008817827661,0.5267468838801194,0.5197425430547087,0.5352008817827663,0.6065819357325513,0.04163101539244625,0.0666500511018336,0.7233778544211534
6_Mouse_Embryo,SpatialGlue,0.3560702316492499,1.2681226990998349,0.5286367195609989,0.5204735499506791,0.5354517489551216,0.5286367195609988,0.6228986114628139,0.039480912923508,0.06993669079201362,0.6415958867245178
