,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Shared topic 11,Shared topic 12,Shared topic 13,Shared topic 14,Shared topic 15,H3K27ac private topic 1,H3K27ac private topic 2,H3K27ac private topic 3,H3K27ac private topic 4,H3K27ac private topic 5,H3K27ac private topic 6,H3K27ac private topic 8,H3K27ac private topic 9,H3K27ac private topic 10
Zfp688,-1.8973644,-0.34582075,0.09129101,0.61589265,-0.27502167,-1.7207998,-0.9522206,-1.6308007,-0.17742823,-1.4363197,-1.59843,0.8836365,0.1493743,-0.4590176,0.37814993,-0.5086056,-0.19258335,-0.50426793,0.61063564,-0.14659941,-0.20958708,-0.16012156,-0.2545848,-0.5878578
Mir7060,-0.1283713,-0.62975484,-0.3174845,-1.5070077,-0.069921434,-3.1973376,-0.15627885,0.14286005,-0.60794306,-2.494421,0.25376543,-0.7299571,-0.3005108,-0.34010494,0.053200334,-0.990814,-0.36334217,-3.4511287,0.5926789,-1.8169544,-2.5663798,-1.987189,-0.4316329,-0.17207153
Snora30,-0.7066419,-1.2276028,0.037507087,-0.13917124,-0.32185858,-2.8254204,-3.5936244,-1.2141836,-0.10801765,-0.01025033,-0.358846,-1.4346333,0.30675316,-0.36500558,-0.084620565,-0.7565291,-0.32296705,0.84736943,-2.257285,-2.1727128,0.14879167,0.332075,-0.23940232,-2.7517123
1700120K04Rik,-0.9505601,0.5452223,-2.1994658,-0.3014936,-3.6324353,-2.579925,-0.21494603,-3.0579317,-1.6521318,-4.0637655,-2.915556,-0.56116396,0.73947585,-0.7990011,0.41149336,-2.1786704,-0.7641569,-2.9662027,-3.3861663,-0.039828718,0.074207544,1.5639498,-0.6832824,0.38918388
Mir762,-1.0972908,0.41321635,0.4066304,-0.48908243,-0.81755745,-0.26442245,-0.4854346,0.50355923,-1.42231,-1.9848748,-1.5334504,0.52446485,-0.5498595,-0.5618524,-1.1076676,-0.029797116,0.018782675,-0.8965529,-0.4603119,0.12937863,-0.49559316,0.17890298,-0.29146665,-0.8092334
Hsd3b7,-1.2981044,0.15936816,-1.1613253,-0.014277384,-2.8661277,0.07813546,-0.21348844,-0.30100924,-2.7510717,-0.8616422,0.67888564,1.455225,-0.5657797,0.724442,1.1608874,-0.36352035,-0.26088294,1.5342287,-3.1805992,-1.102606,-0.013720781,-0.28413308,-2.0732183,-0.28297117
Vkorc1,-1.1994479,-0.11210835,-0.118488625,-0.5110849,-1.7220403,0.2021474,-0.122001916,-0.29132253,-0.32391346,-3.9745672,0.09045717,0.33312166,-0.022980914,0.06985822,0.42824256,-0.17091474,-0.1738372,-3.130675,-0.11554448,-0.19653445,-1.0026388,-0.48222947,-0.36559182,-0.11378044
Prss8,-3.370921,-0.19729069,0.040427923,-0.2136986,-1.4585463,0.9384527,1.1239139,0.007864296,-0.45265222,0.4530161,-0.85396457,0.89653754,-0.818036,-0.055370267,-0.9391061,-0.17002948,-0.122548945,0.1773014,-1.4413663,0.23027128,-0.6636294,-0.19318928,-0.7759289,1.2849642
Pycard,-1.6456939,-0.49995428,-0.43710274,-4.13517,0.21737793,0.57643205,-1.8939308,0.55871475,-3.0360487,-4.1568565,-0.7344353,0.5417029,-0.71217275,-0.1482287,0.22979951,-0.43048418,-0.2269447,-2.8463392,0.21613139,-0.1643548,-1.0241089,-0.4582576,-0.5617378,0.22583628
Cox6a2,-4.1765966,-0.2693076,-3.4259627,-4.032048,-1.8838804,0.93098676,-1.0262485,0.42863357,-3.6613154,-2.4045775,1.5526714,-1.7966459,0.17292613,-0.8563504,-0.24212417,-0.6122604,-0.6565782,-2.5325918,-3.046344,0.07393384,-2.1474407,-0.01175499,-0.47749817,-0.4895124
Mir7061,-0.7071396,0.64871216,-0.37144858,-3.667041,-4.1254926,1.377179,-2.6926646,-3.0981297,0.23340493,0.52126455,0.5013232,-0.50594825,-2.093783,-1.1603105,-1.3062469,-0.28191194,-0.4668279,-0.68873346,-2.17376,0.13547772,-0.2542083,-3.6601017,-1.9428458,-0.6464936
Fam24b,-1.0941753,-4.4660387,-0.05604446,-3.7796519,-3.9327455,-0.11210871,-0.56116956,-0.6574482,0.020931602,-3.0759125,0.78619933,-3.6069486,-1.4144096,-0.8681296,-2.1594415,-1.8676716,-4.18546,-3.3250637,-3.4386568,-1.1715089,-0.51577216,-3.621445,-3.5051281,0.28000867
