,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Shared topic 11,Shared topic 12,Shared topic 13,Shared topic 14,Shared topic 15,H3K27ac private topic 1,H3K27ac private topic 2,H3K27ac private topic 3,H3K27ac private topic 4,H3K27ac private topic 5,H3K27ac private topic 6,H3K27ac private topic 8,H3K27ac private topic 9,H3K27ac private topic 10
Npbwr1,-1.5848503,-0.13688777,-0.76080865,0.6366483,-0.21759707,-3.6508236,-0.31894603,-0.21754737,-0.090209365,-2.5407534,0.39068836,-0.14995217,-1.6190633,-1.9951597,-4.022167,-0.23988304,-0.25623003,0.8854773,0.31033415,-0.3117515,-0.29478225,-0.28958878,-0.3953898,-1.7658323
Rrs1,0.63134974,-0.06416296,0.4174608,-1.988065,-1.4904993,0.60123795,-1.0658975,-0.16976047,-1.2570266,-0.1206638,0.041392,0.20002973,0.37642372,0.5254407,0.5156529,-0.20197463,-0.17992038,0.3773318,0.12692785,-1.8528026,-1.628198,-0.04153946,-0.23976979,-0.4897116
Snhg6,-0.039564908,-0.089416355,-2.2655168,-0.34838998,-0.21434847,-3.5623274,-0.1043204,-0.12884194,-0.20328376,-3.754277,-0.71900606,-0.01940874,-0.39842975,-0.17758882,0.17853591,-0.5220469,-0.11204737,1.3093716,-1.7956735,-0.058584012,-0.32266343,-0.17468974,-0.12938018,-0.09743692
Snord87,0.117748246,0.05015239,-1.4235729,-0.40733182,-0.21202183,-3.424731,-0.06618463,-0.21592382,-0.23560423,-3.9116886,-0.5119698,-0.11802737,-0.09706706,-0.15216249,0.26649195,-0.4993786,-0.089631066,1.2375451,-1.8244656,-0.02724158,-0.2515918,-0.20119023,-0.13195439,0.08539796
Tcf24,-0.589473,0.026058316,0.1962009,0.3927369,0.12287593,0.22885346,-0.17839843,-0.6235313,-0.89075804,-1.9212096,-2.9287226,-0.35839173,-0.41387126,0.04052891,-0.5091962,-0.11953699,-0.20093432,0.57888657,-1.8481334,-0.5711492,-0.38085657,-0.05390656,-0.24547498,-0.56808376
Msc,-3.7451172,0.21752483,-0.02334565,-0.09442826,-0.49652806,0.0018367767,-0.1339921,1.0827395,-0.50662404,-0.09573269,-0.91330457,-0.61851394,-0.5564399,-2.253894,-4.1897235,0.24433321,-0.118510276,0.04291132,-0.86202353,-0.055738762,-0.26184285,-0.18002531,-0.66327107,-0.470183
6720483E21Rik,2.0924032,0.1809501,-0.5847213,-0.07098519,0.28723508,-1.1973323,-1.1308596,-0.6995064,0.20794433,1.6806552,-0.39981994,-0.22495925,-4.25018,-0.97511965,-1.4151903,-0.9736168,-0.0557438,-2.647,-1.6135229,0.01553756,0.6932828,0.09601337,-0.30792773,-1.0133383
Khdc1c,-4.432813,-3.83061,-2.055546,-4.415944,-3.4025416,-4.167496,-3.4619539,0.23209012,-4.1881022,1.0046716,0.9876127,-0.31181014,-0.04688859,-2.2714279,-2.5252686,-3.2804737,-3.605734,-3.1964295,-3.9581974,-0.6172496,-0.15795875,-1.6185744,-4.6470547,-2.8107157
Khdc1b,-1.4496931,-4.4301047,0.2189002,-3.9536793,-1.439118,-0.12370932,-3.7456448,-0.41198015,-2.269221,0.011243582,0.022017479,0.65308595,-0.08617246,-0.77906704,-3.3511136,-1.3910226,-3.969751,-3.7272718,-3.5964231,0.043290854,-1.0133203,-3.7869875,-4.456799,-2.3015504
Mir6342,-0.63887185,-0.14587861,-0.27300104,-3.8549955,0.66369367,-4.084074,0.7418821,-0.80458224,0.026642919,0.114483595,-2.2443237,-3.2476192,-0.469152,-3.0411031,-0.8465383,-1.7228189,-1.5421131,-2.4001298,-2.8838875,-3.1475291,0.12727088,-2.508128,-0.7955873,-2.9117234
Gm4850,-1.1418011,-3.1088908,-0.044697046,0.48721755,-0.051790178,-3.8143985,-0.8467035,-1.9766977,0.11833954,0.9897829,-1.1116042,-3.0345411,-4.0925007,-3.330249,-2.6398237,-2.805468,-0.87488866,0.67774236,-0.17943817,-2.3662434,-0.14976883,-2.2695532,-3.7085567,-0.19428575
1700001G17Rik,0.5062218,0.2512104,0.71633786,0.23708087,-0.02825047,0.53861487,-1.3329358,-2.6539102,0.0015226454,0.0004415512,-1.5009865,-3.182365,0.12415019,0.8685925,1.3109713,-0.94793534,0.110298276,0.81077754,-0.50674367,-0.08815089,-0.540461,-0.4057468,-0.174955,-2.1313028
Gm15455,0.059186697,-3.7472696,-0.71161866,1.1526623,-0.24428546,1.0887976,-3.501192,-4.2301006,-1.1454986,-3.6370225,-2.036071,-2.2711868,-2.5684817,0.4055115,-0.27623868,-0.951,-1.0675098,-2.9937363,0.5636054,-3.5149808,-2.842595,-1.0775988,-1.569096,-3.573085
Mir5103,0.352666,-0.6764873,-0.09952393,-3.9096286,-0.41546023,-0.07903762,-0.0935856,-0.4786969,-0.1317598,-1.2270159,0.4675938,0.37132496,0.2559377,-0.27200043,-0.48728472,-0.122711636,-0.07984704,-0.058060404,-0.15409377,-0.058990464,-0.40547246,-0.22129646,-0.06649751,-0.3044947
Ccdc115,0.1267407,-0.12766846,-1.0206363,0.0710772,0.7182499,0.083235145,-0.19152422,-0.55327594,-0.12805149,-3.7619739,-1.1663022,0.5522665,0.14868131,0.22044772,-0.21718302,-0.4713466,-0.24000564,-3.2072363,0.72294325,-0.083697654,0.34300506,-0.5270327,-0.19891305,-1.6048094
Amer3,1.4046218,-0.7251872,-1.4293427,1.3954352,1.648705,0.7089766,-2.6686153,-1.1094072,1.725399,1.7048445,-3.3986726,-3.5829184,-3.726143,-1.628797,-4.3666296,-0.30367422,-0.66952735,-3.3013363,-0.7407895,-0.6429486,-0.14181471,-1.4041287,-2.7617936,-0.45632368
Mir6898,-2.9332516,-0.58786905,-0.8813062,-3.2595787,-4.051689,-1.4967908,-0.63794494,0.166852,-0.7994508,-3.9865022,-0.9669868,0.79247165,-3.421029,0.12991631,-0.45689034,-0.2598806,-0.33449376,-2.5590198,-0.2608131,-0.3720839,-0.3862028,-1.0482178,-0.2295773,-0.27892303
Cox5b,-2.9290705,-0.5250391,-0.33145344,-3.9858246,0.5836228,0.433464,-0.052187145,-1.1290306,0.37673122,-0.26559606,0.8054296,-2.8360076,-0.52406687,-0.040005475,0.2700822,-0.41347682,-0.18660825,0.88639843,-0.5237019,-0.88251936,-0.600695,-0.014838174,-0.11236097,-0.14975408
Rpl31,-0.8266902,-0.5647286,-0.011934884,0.5466235,-0.46444994,-1.2952867,-0.9642266,-0.10735281,-0.07415797,-0.4426229,-0.52344286,0.66726315,-0.07114512,-0.45541835,0.086314484,-0.1705889,-0.08665593,1.2877461,-1.5558561,-0.077632874,-0.5696743,-0.019434012,-0.10317017,-0.32066673
Snord89,-4.056346,-0.5618864,-3.138865,-3.8491151,-4.399489,0.113630414,-3.4465292,-0.76993966,-4.6099367,0.3153479,-0.3562532,0.9053978,0.618258,0.2486949,-4.0218863,-2.701147,-1.0251021,-2.7361603,-3.6175468,-0.8838277,-2.7821913,-2.6289659,-0.57298124,0.63524413
Pou3f3,1.8171874,0.119164914,-4.261894,1.5792153,1.4236685,-3.412908,0.4201932,-0.3800123,1.3445792,1.6891185,-4.412703,-0.49570644,-3.4154835,-2.7268336,-3.6213508,-0.58228976,-0.31770897,-0.17897862,0.62343866,-0.21017878,-0.61720437,-0.6834229,-0.15998636,-0.069484875
2900092D14Rik,1.7159827,0.05717305,-4.3437076,1.4602709,1.2294054,-1.0193837,0.3816501,-0.2528458,1.1510955,1.4864134,-2.9295933,-0.5132673,-1.6210272,-1.5451185,-2.8609545,-0.73857105,-0.26756096,-0.47162697,0.5612636,-0.083391555,-0.2172929,-1.0240633,-0.28529084,-0.075541005
Mars2,0.381382,-0.46042806,-0.69446075,0.3094464,0.8303777,0.43462992,-1.9003304,0.17113516,0.46514434,-0.10591769,-0.37994006,0.60470057,0.62453103,-0.120689124,0.4589085,-0.13852558,-0.30947337,0.17728823,-3.25357,-2.3245456,-1.5408825,-0.15650323,-0.2283183,-0.08331391
Snord70,-0.4965515,-0.006233841,0.3354172,-3.8907716,-1.6135818,0.63079226,-2.2566395,-2.6434863,-3.9025764,-0.40344006,-2.5281615,1.358678,-1.6667976,0.80774367,-0.8251939,0.23416322,-0.30128327,0.6320312,-1.7384629,-0.4737327,-2.0791597,-0.04858485,-1.431636,-0.39740536
Eef1b2,0.24298549,-0.108573064,-0.14768876,-3.8378289,0.51896846,-3.9141707,-0.8866752,0.51192814,0.1455814,0.32515073,-0.7707287,-0.41417995,0.014534771,-0.13968903,0.22332913,-0.35770082,-0.08996871,-0.6923723,0.47640395,-0.92846143,0.1473045,-0.13151877,0.03300883,-0.414296
Snora41,0.17140034,-0.11356967,-0.10818949,-4.0941815,0.48856354,-3.9083955,-0.7998338,0.47960597,0.16407582,0.28892767,-1.0089405,-0.4988543,-0.090399876,-0.13419804,0.2831152,-0.30840534,-0.04585085,-1.0435498,0.43030548,-0.5405109,0.20817894,-0.07440545,0.016636558,-0.5050523
2810408I11Rik,0.03409615,0.25134873,-0.38087404,-1.0232236,-0.018467769,-0.4532775,-0.24363503,-1.3550341,-0.9193151,0.3708189,0.38376403,0.42570186,0.3469882,0.5101857,0.8464,-0.6625776,-0.21629068,1.1694686,-0.26641956,-0.7113305,0.4656003,0.13918439,-1.2565646,-0.7124169
Crygd,-0.31105065,-3.8889744,-0.6060464,-4.2460866,0.16819346,-3.3643146,-1.2373071,-4.25306,-2.3230016,-3.7626157,-0.2550283,-2.6051278,-1.0500044,-0.098997235,-0.53187233,-0.95580316,-1.0995631,-2.8891587,0.73727536,-1.0696926,-3.7735274,-0.34179366,-3.3772092,-1.2362821
Mir1928,-1.1721907,-2.006237,-0.5004051,-2.5710347,-2.1192923,-2.6322796,-1.3801726,-1.6127824,-3.9111998,-0.7476514,0.75605285,-0.4141299,-0.17609353,-3.7023385,-0.51283026,-0.068102255,-0.31683344,-2.7559516,0.5918352,-0.22423007,-0.5061941,-0.43849164,0.5852765,-0.50427175
Gpbar1,-0.806976,-4.431135,-0.1068036,-0.47562456,-0.77056926,-3.6104414,0.6736252,-0.37686774,-2.5003011,-2.6304574,1.0383589,-0.0070575476,0.8128728,-0.93951494,-0.18252687,-0.16391174,-0.12758118,-2.7613976,-2.7549496,-0.99124163,-2.8237863,-0.26382077,0.26257414,0.5393685
Bcs1l,0.43488812,-0.75195974,0.10556626,-2.5330307,-0.11468141,0.77121454,-2.2631493,-0.5242187,-0.049788184,-0.07016504,-0.13895516,-0.24038032,-0.009999692,0.13197881,-0.15891214,-0.12674701,-0.16326658,-3.53739,-0.09655708,-0.15822303,-0.60933685,-0.4317123,-0.14339507,-0.20168401
Cdk5r2,0.46854597,-0.10232173,-0.5586325,0.80329996,0.4685744,0.37229845,-0.2793243,-0.2711206,0.20571133,0.9972855,-0.41998416,0.35488322,-0.29836112,-1.0943707,-1.8951064,-0.06698487,-0.09734212,0.37327984,-0.4191749,-0.027973056,-0.22149697,-0.3830601,-0.020858638,0.13392515
Cryba2,-1.658602,0.13177422,-0.9719245,0.25788414,0.6279277,0.80461013,-0.6673275,0.21082106,0.1504943,0.1893911,0.11928956,0.37455422,-0.40458968,-2.4506497,-3.159159,-0.11443912,-0.14292675,-3.1661613,-0.07925062,-1.2192578,0.380157,-0.08151224,0.018536031,-0.14894503
Mir375,-4.024083,-0.08129788,-0.3702556,-4.2551193,0.006073162,0.9266888,-0.35563594,-2.599301,0.25194713,-1.5756525,-0.32630765,-0.025274016,0.1554456,-1.5059081,-3.2982755,-0.80070645,-0.13383752,-2.8127418,-1.7875446,-0.86039644,-0.21891397,0.31302914,0.3596275,-0.31761384
Zfand2b,-0.23274034,0.3787079,-0.62533695,-2.5328774,-0.010960817,-2.8717859,-1.1837456,-0.5011749,-1.0388147,0.93985987,0.18005496,0.6992171,0.6291001,1.2905992,1.4291294,-0.7262788,-0.1228195,-3.240847,0.4737093,-0.20257062,0.3491459,-0.0054688454,-0.1429868,-0.3294049
Stk16,-3.686571,-0.6312454,-0.8026706,-0.05014831,-1.3442421,0.22838813,-0.39901888,0.024733901,-0.12134698,-3.9646516,-0.23351604,1.0156289,0.6441903,1.2108911,1.3785106,-0.3932429,-0.17677529,-3.24142,-0.3381372,0.05034195,-0.31054595,-0.13879168,-0.14211148,-0.20677668
Gm15179,0.27606618,-0.88359416,-4.2448387,-4.129588,0.27002078,-3.1058397,-0.9477174,1.5659266,-0.0868863,0.38283825,1.7454112,0.9090655,0.38177484,-1.143089,-0.6638334,0.14783922,-0.9504681,-2.6280315,-2.6590297,-2.6383045,-0.59043694,-0.06883526,0.019044548,-0.35205492
Mir6344,-0.55109036,0.83447534,-0.5416374,-4.1720657,-0.32579544,-0.4722618,-0.3130405,0.7802452,-2.2780752,-0.02134689,0.70764047,-2.3236704,-0.55378115,-0.70637417,-4.7022085,0.018610805,-0.14647728,0.31127864,-0.48351946,-0.307052,-1.2490873,-0.011939317,-0.13016886,0.11643647
Krtap28-13,-0.32016236,-2.6551592,0.19092202,-1.5476419,-0.8444948,0.6751077,-0.21783483,-0.66360277,-2.4699402,0.1970411,-0.983365,0.6665814,0.09904224,-0.97506547,-0.25501126,-1.3074377,-0.5613046,0.82197094,-0.9617151,-2.3929496,-0.50950086,0.4378733,-2.2857695,-0.66877365
Mir5126,1.59173,-2.6298711,-3.9487395,2.352812,1.6545932,-3.318785,-2.6715384,-3.9913483,2.1558979,2.4382484,-3.424228,-4.021455,-2.7593224,-4.1704617,-4.4777694,0.053208053,-0.29695672,-1.2641709,-0.5944444,-0.9666084,0.0041786134,-1.5144986,-1.9520665,-0.56716
Mir8096,-4.261076,0.5367248,-0.38881642,-4.4277716,-0.0020892918,-0.37708396,0.26694798,0.5262141,-4.3259916,-4.043123,0.36004925,0.37845784,-0.6055105,-4.1674576,-0.1341756,-1.6228621,-0.35825455,-0.18515067,-0.7895195,-1.0051537,-0.8700544,0.22144365,0.4628256,0.04518324
4933407L21Rik,1.8079963,0.86460066,-0.20567891,1.1042922,0.87202835,-1.7592089,0.0017213225,-2.1602802,0.14896315,0.7574788,-2.9364834,0.4069659,-0.042567335,-4.043112,-4.0011816,-0.27413923,-0.7596191,-2.6408577,-1.7043062,-0.014452592,0.89913785,-0.23804094,-1.578697,-0.85564727
Snora75,-4.3543653,-0.3188709,-0.03558743,-4.289625,-2.2422297,-2.1000118,-2.0666611,-4.2156425,-0.35386252,-4.059595,0.03828168,-3.2739027,0.42632794,-0.034786046,-0.16712344,0.13528061,-1.0064427,-1.7902957,-3.2328627,-0.8018289,-3.1836,-2.7408395,-1.1712654,-0.27017075
Gm24148,-1.0431516,-0.29355305,0.25344044,-4.1191087,-1.6327097,-2.9655025,-3.182364,-3.2576761,-0.057379782,-4.060753,-0.15953386,-3.1879342,-0.2225672,-1.4169466,0.081061065,-0.01724124,-0.61161363,-1.9579178,-3.069215,-1.1735253,-0.57127607,-0.9456407,-0.9490891,-0.21497357
Snord82,-0.87148815,0.27925032,-0.33727798,-0.3614487,-0.54444575,-0.52707887,-0.012601119,0.2927848,-0.81798124,-0.9468711,-0.31088755,0.10013051,-0.1596834,-0.096487224,0.043176733,0.11735408,-0.045175403,-0.22342803,-1.9594038,-0.105214626,-0.14521353,-0.027076667,-0.32160997,-0.036565084
Scarna6,0.6586232,0.2114951,0.3155138,-0.79689753,-4.1375504,-0.80266464,-1.3976107,0.13460726,-0.35134438,-0.26156694,-1.0999191,0.08236167,0.12311271,-2.2587776,-0.060863048,-1.3508006,-0.30972037,-1.9099739,-0.042389035,-0.32938054,-0.3127015,-0.97066885,-0.2978807,-0.54235464
Dnajb3,-4.392488,-3.5844696,-3.5537856,-4.2439184,-2.9792943,-0.16416612,-2.580261,0.0930568,-0.263947,-3.9027278,-0.3655224,-3.5992491,0.5260465,2.3224068,2.4906812,-0.32288402,-1.8861414,-3.112771,-3.4686275,0.0004966259,-0.467512,-3.1207347,0.26268035,-0.38989383
Arl4c,0.5412654,-1.7573357,-0.6152747,1.3619957,0.8000384,0.694341,0.27953687,-1.3715292,1.0740931,0.7279558,-0.45460716,-0.5058743,-0.30861485,-1.0653118,-2.885401,-0.5504999,-0.1142831,1.0460781,0.17242378,-0.1685681,0.14995691,-0.17319357,-0.6014315,0.56574035
Prlh,-4.3475237,0.4505363,-1.9741809,-4.2618256,-0.077408016,0.9862728,-3.313677,-0.020660043,-0.68937457,-3.9041758,0.3432271,-3.1276653,0.46290874,0.77467346,1.0362779,-0.5961708,-0.5468728,0.54786783,-0.020406336,-0.57617116,-1.7017763,0.05799663,-0.7209794,-1.1821278
1700020N18Rik,-0.94482064,-3.9589984,-0.80260813,-2.7754202,0.9818624,1.068097,-0.26383334,-0.50449747,-0.73250556,-3.7858033,-3.2219512,0.28290248,0.11686748,-4.1206346,-0.5819911,-0.10507932,-2.2139122,-3.0213518,-1.7305645,-0.23027605,0.79066,-0.33946013,-0.8582265,-0.7890506
Hes6,0.20294479,-1.7781748,-0.18655252,-0.40132302,0.54778916,-1.050085,0.27099526,0.56830704,0.066482544,0.24236327,0.45815265,0.5282244,-2.8027258,-2.2992303,-0.9856047,0.29541227,-0.085707605,0.587792,-0.945743,-0.5802245,0.5372656,-0.47578144,-0.8632644,-0.08397667
Mir6900,-0.20089883,-0.7417098,-0.42452437,-0.41783923,-0.7196174,0.52529716,-2.4043193,-0.7169504,-3.8520644,-1.1510816,0.44957763,0.031837493,-0.2044775,-1.5056909,-0.21375392,-0.15314825,-0.49952173,-2.9531412,0.12467021,-0.3458733,0.009768933,-0.26505378,-0.20612447,0.049416184
Olfr1415,-3.5807116,-0.8102362,-2.5492659,0.6509299,-1.8226638,-0.6412916,-0.04300493,-2.5976894,-1.1702226,1.0403869,-1.9902467,-2.9039328,-0.9733529,-4.0551114,-1.0007173,-3.917696,-1.435199,-2.660283,0.25469375,-0.5294478,-1.8656745,-0.6673289,-1.0287852,-1.504728
Olfr1411,-4.4216666,-1.337124,-1.9372844,-3.9462867,-4.6047015,-0.44993997,-3.8656673,-3.8697214,-0.7972446,-3.9964805,-2.8296824,1.3816619,-2.2132795,-0.54078966,-3.4566708,0.22756028,-1.4233826,0.7523451,-2.0007885,-4.255886,-0.31042123,-1.2017652,-2.5741425,-2.2669525
Olfr1410,-3.1533136,-3.4832516,-0.22001976,-4.054166,-1.8278084,0.9900234,-1.1668055,-2.775413,0.08350074,0.40848708,-4.3044586,1.1616931,-3.887798,-1.6773098,-4.455345,0.51526904,-1.2321177,-3.2212963,-3.5388663,-0.0037560463,0.4267099,-2.3665652,-0.020107388,-2.3915567
Olfr12,-0.9056477,-0.26583904,-3.385294,0.21556562,-0.33956212,-0.5923697,0.46385676,0.020699054,0.09517604,0.43713874,-0.5333744,0.5706341,-2.3381424,-3.3946705,-2.6736436,-0.42069817,-1.0006688,-2.930732,-0.38238424,-0.38099924,-0.16137253,-2.120367,-0.43286952,-0.4527286
Cops9,0.74505925,0.55160934,-0.47675717,0.36288458,0.3232791,-3.1201577,0.07842012,-0.04879182,0.12095052,-3.2254844,0.16846353,-0.29614753,-2.3348196,-0.42323646,-1.608328,-0.19749224,-0.15158276,-2.6863892,-0.19318402,-0.047443613,-0.73462695,-0.28522465,-0.5195878,-0.06575679
Mir149,-0.5445348,-2.171421,-2.0358753,1.1118798,1.5100523,-0.7042403,0.16463932,-0.4811419,1.7641237,-3.9322574,-0.99981844,-4.095932,-3.1018956,-3.7698505,-2.485402,-0.1440456,-0.16990703,0.582014,0.44395155,0.38118178,-0.0560735,-2.3411243,-0.11566375,-0.64446396
Dusp28,-0.31509352,0.23093545,-0.11773848,-0.013988525,0.8164758,-3.729242,-0.32413846,0.23735711,0.78168344,-4.1614685,-3.9539301,-4.2252126,-0.11503011,0.5038479,-0.17197774,-0.14090586,-0.24872988,0.28165168,-2.2086713,-0.007441953,-0.17302772,-0.29580915,-0.37907103,-0.053445905
5033417F24Rik,-0.26139784,0.28174767,-0.46360788,0.6447604,0.6748929,-0.20994106,-1.2816787,-0.08522582,0.7284809,0.28519145,-0.56491065,0.025329016,-0.39155906,0.19346163,-0.4220347,-0.2504056,-0.103131644,0.07190354,-2.6396074,0.08792126,-0.19465527,-1.694805,-0.06686103,0.030846149
Gpr35,-3.021607,-0.2077995,0.7411338,0.5058767,-0.413018,0.2868728,-2.3097837,-0.13261913,-1.5050731,0.5684533,-0.19978556,1.0152422,-1.8035182,-2.2247014,-0.97410303,-0.2889505,-2.2797303,1.1422303,-1.034259,-0.43997717,-0.76203775,0.074264824,-0.48357174,-1.0366199
Aqp12,-1.995542,-1.0715818,-0.97289467,0.70842814,0.09061867,-0.51716554,-1.2122984,-0.66181993,-0.45930824,1.1822493,0.26785582,-0.49939945,-3.3651505,-1.6962893,-1.6456983,-0.45603704,-0.6242569,-2.4181266,-2.5678694,-0.23971386,0.10738975,-0.6595767,-0.29852977,-1.7462538
Mir6901,-1.3804699,-0.45964825,0.40803128,-3.9166088,-1.0217068,-3.2348046,0.43768305,-3.2401986,-0.6803829,-2.716403,-0.51737124,0.8021667,-0.20470433,-1.792052,-1.6215869,-0.87571,-0.34086987,-2.8800592,0.96015847,0.28995878,-0.5906,-0.4851122,-0.094652,-0.16629761
Mterf4,-1.0103211,0.42143893,0.4797492,0.2873922,-0.8369256,-3.7486746,-0.18865505,-2.7556293,-2.3129196,-2.726852,-1.6283472,-0.3867873,-0.5527201,-1.0410898,-0.6360807,-0.47708726,-0.2681619,1.3480519,-0.028078884,-0.37399673,-1.1561328,0.122475415,-0.43117833,-0.044820055
Mir6902,-2.2281487,-0.49394974,-0.28744945,-4.1884646,-0.8889797,-3.6777644,0.45370388,0.4036286,-0.7374384,0.5997651,0.6710508,0.5898775,-2.9901993,0.43527257,0.6396649,-1.7073126,-0.23414046,1.7859608,-2.9120967,-0.18333259,-0.9415462,-0.22159864,0.08543506,-0.34953612
Mir6345,-1.044173,-0.96877515,-0.53972816,-3.6939955,-3.3532627,-0.030918002,-3.9040189,-0.3632082,-0.5442355,-2.6166406,0.24069554,1.0884675,-3.3659582,-2.0299911,-0.63308084,-0.6016491,-0.41908532,1.1730953,-2.3425221,-0.55130064,-2.577309,0.12510753,-0.5452094,-2.5311756
Gm17634,-0.5371063,1.0228498,-1.0242422,1.5221376,1.5106671,-3.7243893,-0.18402709,0.278669,1.7830875,1.1720424,-0.011166632,-0.26846996,0.024589896,-4.4461555,-4.4617167,-0.9762445,-0.36626348,-0.23677197,0.15999475,-2.207069,0.4363106,-0.47771913,-0.5119007,-1.1173072
Tmem185b,0.40949225,-0.1434783,0.48172885,-3.617884,0.2158964,0.33024454,-0.11269814,-0.54512227,0.29662007,-0.27403712,-0.04384935,0.19923353,-0.0090383515,-0.37508744,-0.7059672,-0.98089266,-0.119881526,-3.2065022,0.4416389,-0.03942009,-0.6390894,-0.30093366,-0.20625304,-0.98067325
Dbi,2.212084,0.5111378,-0.32440746,0.06273116,-1.2730391,-1.8885874,-0.4429533,-0.108895116,0.012092389,1.3973147,0.6097395,-3.3932693,0.0074541643,-0.21747729,-0.45916978,-0.007897995,-0.16746753,0.37971085,0.059996694,-0.058990076,-0.014547825,-1.098887,-0.16679513,-0.31612015
Mir128-1,0.0880025,0.078151405,-3.6075156,-2.4244766,-1.2326463,-2.0656748,-0.026848137,-0.64112455,-0.460617,0.25550687,-1.6604978,0.2609141,-3.6243615,-0.65328383,-0.9636401,-0.48410752,-0.5883773,-1.6924045,-1.2259464,-0.36065108,-3.1089423,-3.5989447,-0.6274884,-0.3681615
AA986860,-1.6507051,-4.329142,-4.211499,-4.087781,-4.5348268,-0.52727365,-0.31113905,-0.39213943,-5.005998,-0.22001317,0.8796861,-1.8404782,1.7108204,2.135189,2.2264004,-0.08008249,-2.499339,-3.2994027,-0.39693797,-0.5130929,0.122796476,-1.6021053,0.3432287,-0.11182263
Mir135b,0.21377775,-0.8432164,-2.7533865,0.8739837,0.95005107,0.108241275,0.44622928,0.20009589,0.8886188,0.6088952,-0.07210404,-0.2728833,-0.6822246,-2.1093466,-1.4040538,-0.95944273,-0.98329496,-0.16089383,-0.18555371,0.05892077,0.63679177,-0.13728508,-0.8527512,0.21105352
Tmem81,-1.0032963,-0.5996497,-3.0381985,-2.7051826,0.5494667,0.3323182,-3.14649,-1.0436218,-0.6094973,1.9150639,-0.98596764,-3.6339118,-4.082358,-1.5845222,-0.50679517,-0.9158876,-2.8394103,-2.9079106,0.14263332,-2.8283153,-0.36442024,-0.5648335,-0.6019435,-2.9461024
Myog,0.24694109,-0.23953396,-1.7739372,-0.30948916,-0.75029916,-2.7518232,-1.4168856,2.023758,-0.56562436,0.7990302,0.6357982,0.90820646,-1.3703626,-1.6736851,-4.119917,1.079478,-0.21283352,-2.3245244,-2.2027328,-1.8754843,0.73048526,-1.484715,-0.79347,-0.2474774
Shisa4,-0.68531257,-1.2434884,0.13870901,1.0308696,0.29496714,-0.92263824,-0.18770319,-1.1713036,0.25544956,0.58499277,-1.5468744,0.88891745,-1.7189436,-1.1146381,-2.6952214,-0.17011952,-0.13859816,-2.803127,0.029112846,-0.12182047,-0.36065033,-0.2693752,-0.09705816,-0.15063033
Ascl5,0.6047845,-0.3537387,-0.5667082,0.02888985,-0.47511965,0.06521197,0.17305565,0.025416791,-0.33621445,-0.33233356,-0.53038347,0.6591076,0.8013282,0.15529746,0.12319729,-0.3997762,-0.25750536,-2.2374744,-3.1432028,-0.073259965,-0.22377422,-0.2120928,-1.603117,0.22381413
Gpr25,-0.35442,-0.36634997,0.021921277,-0.052457124,-0.33592248,0.021712467,-0.06911425,-0.09091887,-0.39557633,-4.4006763,-0.39364165,-0.11581367,-0.9266635,-0.87338537,-0.48427793,-0.5119913,-0.12714323,-2.8642855,-0.53302956,-0.122196436,-0.043409556,-0.15156506,-0.105181776,-0.08677997
Rgs16,0.53177077,-4.2226024,-0.041932657,0.52126837,-1.6652344,0.1553972,-0.19618244,0.15269631,-1.2837175,1.034616,-0.16444561,0.6681265,-1.0690085,-1.7760923,-4.472457,0.08711845,-0.57603776,0.17589277,0.30343157,-1.2710402,0.61762303,-0.10688165,-0.90549374,-1.1204368
Teddm2,-2.591228,-0.92133445,-0.22340447,-3.0369976,-0.47083348,-0.068959534,-3.8950043,-3.3482227,-1.3342475,-2.0514755,-3.3573172,-3.4329345,-4.281984,-0.06643045,-1.0495963,-0.5439409,-0.7326464,-2.0431213,0.008485138,-1.0558683,-0.8693503,-2.0973434,0.2200445,-3.3988602
Teddm1a,0.45135403,-2.9633846,-0.21533856,0.39659113,-3.2448845,-3.5362372,0.2556218,-3.7643018,-3.8108892,-1.5690047,0.44871485,-3.2373068,-0.38307688,-0.8081576,-3.0683212,-0.05615896,-1.1178546,-2.6221735,-0.89998746,-2.7444117,-2.6154299,-0.466033,-0.47612828,0.22420067
Mir8114,0.65701306,-1.1724846,0.19520205,-0.21694489,0.56600225,-0.20548473,-1.8660103,-0.11629321,0.30047798,0.37582624,-0.71715134,0.39143205,-0.5009037,0.13697028,-0.0077480488,-0.032747842,-0.05436794,0.8043704,0.12816507,-0.018997379,0.25018778,-0.09770156,-0.17555344,-0.3166671
Snord47,-0.37450063,-0.0924855,-0.043256372,-0.72895277,0.04211563,0.02049078,-0.072338134,-0.053475738,0.10549097,-0.62797946,-0.009516824,-1.4974767,0.07055423,0.2514748,0.24986187,-0.06666969,-0.039579075,0.25203958,0.010643002,-0.011813963,-0.13456154,-0.13773659,-0.03054931,-0.098306805
Mettl18,-1.7291168,-1.4768194,-0.37952316,-0.5981932,-0.6255616,0.545722,-0.12828162,-0.47914377,-0.12986106,-3.80901,0.03984338,-0.66912925,-1.2450805,0.3010022,0.57525736,0.014163032,-0.083483465,1.0496094,-2.4502735,-0.37720048,-0.32600054,-0.39888823,-0.12320535,-0.7327401
