,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Shared topic 11,Shared topic 12,Shared topic 13,Shared topic 14,Shared topic 15,H3K27me3 private topic 1,H3K27me3 private topic 2,H3K27me3 private topic 3,H3K27me3 private topic 4,H3K27me3 private topic 5,H3K27me3 private topic 9,H3K27me3 private topic 10
Cebpe,-3.5899405,-0.12306304,0.38251472,-0.6996577,-1.0065038,0.36231703,-0.07707794,-1.6921731,-2.6169398,0.34867278,0.45097566,1.1539178,1.4814353,0.7667532,0.9620614,0.2892837,-0.95123935,-1.2663859,0.22763273,-0.6784517,0.36726433,-0.010187879
Ppp1r3e,-0.5228301,1.4539928,0.019029334,-0.32359183,-0.10411887,-1.6945928,0.31057376,0.6818312,-1.5008266,-4.0079317,0.067401245,-2.3910778,0.30122492,-0.6371043,-1.8114934,-0.49103755,-0.14122397,-1.492775,0.42361897,-1.0209076,-0.01811298,0.8858696
Pabpn1,-1.0301151,-0.12658727,0.2763176,0.5583196,-0.60636,0.018567264,-3.2350886,0.20973462,-1.608677,0.23504943,-0.4078193,-2.984308,0.34961456,-0.61924624,-1.4529277,-2.44794,-0.50761926,-2.4527771,-1.1583714,-0.24214023,0.28460675,-1.3683078
Slc22a17,-0.18393192,-3.0969307,-2.9256644,0.34067744,-1.229852,0.3596403,-3.2802331,-2.927578,-3.6921809,0.80251884,0.8999858,0.77788806,1.1817209,1.6415744,1.6724938,-0.9010021,-0.5587199,0.37412512,-1.5072205,-0.8210305,0.33529896,-2.8539803
Efs,-0.815457,-2.1912374,-1.257672,0.24721476,0.14111999,0.34458846,-0.91211486,-2.2857852,-0.01885645,0.054546922,0.6343519,0.106337294,0.51666534,1.2205404,1.2595387,-0.19409329,-0.13637237,-0.4510811,-1.0656303,-0.4085459,0.37543106,-0.054013826
Il25,0.09587777,-0.44377205,-1.9155318,-0.58568394,-0.20611903,-0.04754027,-2.807451,-0.99672145,0.20797402,-3.6151934,0.9728241,0.3489074,0.53034127,1.1077583,1.1329365,-0.57684433,-0.08283019,-0.7077433,-0.73872125,-0.83795035,0.4026882,-0.21481723
Cmtm5,-1.1273624,0.3000316,-2.763654,-0.56044865,0.24372196,-2.6132288,-2.5169282,-0.2601508,-0.22274056,-0.75969744,1.5720079,0.55583483,0.114557266,-0.08479467,0.0060017705,0.25691146,-0.3872312,-0.03508225,-1.8680629,-0.345977,-0.46539253,0.16815567
Mir208a,0.07682732,-0.69852424,0.1159766,-1.4087428,-0.18994236,0.30927432,-3.4049463,-0.32063854,0.24507093,-1.2952933,1.2355727,-1.7809927,0.7185266,-0.6607944,0.44690245,-1.1993194,-1.6348919,-0.79873544,-0.048185498,-1.3949223,0.4793176,-0.102687836
Mhrt,-0.323182,-0.05720438,-1.0400331,-0.5589025,-0.31032276,0.8804072,-2.833795,-0.45529896,-0.41530868,0.59763247,1.1425453,-0.54287255,-0.32477432,-0.6200241,-0.71102405,-1.1656438,-0.15995663,-0.707041,-1.2743367,-0.9581028,-0.29806778,-0.53078014
Mir208b,0.10842264,-1.1118228,-0.82150126,-0.32240367,-0.15039343,-0.069005094,-1.401513,-2.6600215,-0.5654206,-0.13305978,1.58119,0.8773149,0.14806822,0.18261114,0.030459821,0.19664839,-0.37382436,-0.0045316815,0.09947628,-0.1804282,-0.1077117,-1.5112458
Zfhx2os,-0.89175844,1.6309311,-0.34694755,-0.10060546,0.27333802,0.05540605,-2.6445508,-1.5757272,0.26977947,-1.0908118,0.8800392,0.16640547,0.22702786,0.37829232,-0.24658522,0.58329195,-0.57672644,-0.9187566,0.65740055,-0.26759976,0.40486473,-1.4844569
Cpne6,-1.5940137,0.10959743,-0.54062235,-3.7639098,-0.54451954,0.15953374,-0.6785032,-0.044615135,-1.7957859,0.36292386,0.9682951,-0.14877363,-0.3940098,0.5849793,0.5760284,0.4940148,-0.07027283,-2.2991595,-0.102036886,-0.40356493,-0.109504096,0.07423994
Fitm1,-0.3962007,-0.7183768,-1.0455662,-2.7506092,-1.0850494,-0.13461119,-0.2415266,-0.62101954,-1.2973627,-1.2893455,-2.698144,-0.035931528,1.1234118,-3.3868444,-3.286564,0.5304737,-0.7721807,0.1014266,0.054256976,-1.1198409,-0.5395852,-1.092082
Psme1,1.0381526,-0.27484974,-2.6804214,-2.8228755,-0.60401726,0.40735203,-0.4444079,-1.4642683,-2.9332492,-0.27010202,-2.9984593,-0.6440307,1.0887644,-2.856462,-1.7981102,-2.5161676,-0.7023147,-0.15746972,0.33770692,-0.48350272,0.30719733,-0.605924
Rec8,-0.10362023,0.29788417,0.6837983,0.05944836,0.23388416,-0.12761196,-0.9406842,0.55979073,-3.3595212,-3.5994072,0.64139473,0.31286854,0.48970115,-0.30424207,0.067836106,0.63639903,-2.0040674,-0.6513933,-1.1275617,-0.40455258,-0.12131357,-2.1117325
Tssk4,-0.058948457,-1.1963875,-2.6047077,-2.4745703,-1.001033,-3.4258153,-0.13275063,0.23044991,-0.9491569,-2.6486404,-0.028410554,0.66880417,-0.73305124,-0.29334196,-1.2989898,-1.7695,-2.8138926,0.8384423,-0.31097028,-1.433815,-0.12459731,-0.7634448
Mdp1,-3.0556686,-2.8926082,-3.1745584,-1.8579099,-0.020157456,-2.9496632,-3.7420254,0.30561602,0.12522483,0.4305147,-1.1583725,-2.6659875,-0.55836624,-0.2958178,-0.025601625,0.75585127,-1.6970725,-2.435018,-3.2317176,-1.1170291,-0.21933407,0.5540577
Cideb,0.6778841,-0.6285316,-0.23615092,0.30021963,0.3787748,-1.0506567,0.61388665,-0.14532973,-0.14767683,0.27770883,-0.72733384,-3.1375718,-0.44944945,-0.18149588,-0.0059403777,-1.5690849,-0.07277308,0.29510316,-0.050143056,0.024027444,-0.19010693,-0.14095506
