,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Shared topic 11,Shared topic 12,Shared topic 13,Shared topic 14,Shared topic 15,H3K27me3 private topic 1,H3K27me3 private topic 2,H3K27me3 private topic 3,H3K27me3 private topic 4,H3K27me3 private topic 5,H3K27me3 private topic 9,H3K27me3 private topic 10
Snhg6,-3.232616,0.20453364,-0.2686322,0.21327949,0.01757431,-2.4679587,-0.22967206,-0.52269626,-0.023276359,0.13970393,-1.7037753,0.455319,-0.49352178,-3.0097125,-0.062048227,-2.5343893,-0.3987999,-0.3883605,-2.1454039,-0.29623845,-1.0599402,-0.15633184
Snord87,-0.26356742,0.215282,-0.41868556,0.2553441,0.12888572,-0.7277037,-0.23691246,-0.09967929,-0.09968904,-0.41351986,-0.8978372,0.32879066,0.037200123,-0.52933824,-0.008893937,-2.5176063,-0.26366487,-0.49104017,-2.7374747,-0.13499269,-0.33246645,-0.16975084
Rdh10,2.0293586,-0.26217747,-2.667389,2.04298,0.030482352,-3.15814,-0.20040725,-3.1376624,1.5088556,2.0723367,-2.805255,-3.6849587,-0.46314,-0.4605282,-1.8296132,0.06434661,-0.7314315,-1.5076226,-1.6239339,-0.4743514,-1.924201,-0.76241785
Rpl7,1.5847309,0.5009653,-0.5728879,1.5330216,-0.19535306,-1.6073015,-0.028539196,-2.1357865,1.1316196,2.0304754,-1.4164646,-1.2646418,-0.3730083,-0.39276868,-1.1153255,0.36758423,-0.19853406,-1.0527395,-0.9052378,-0.45494255,-0.61366,-0.798977
6720483E21Rik,-0.40574777,-0.5713804,-0.020568475,-1.2512273,0.18058202,0.75488883,-2.3562417,0.51446474,0.27761632,-0.57600033,-0.49923033,-1.3697256,-1.1537123,0.22021383,0.037474215,-0.2316374,-0.122013174,-0.772791,0.14103693,-1.1227547,-1.5177033,-0.8612954
Pih1d3,2.1479921,-3.8539157,-2.762708,-0.09873587,-0.92844194,0.14861345,1.5188265,-3.6462708,-1.3774,1.7469392,-0.86978173,-3.730842,-3.187722,-3.899514,-3.6691847,-2.8214746,-2.2054505,1.4060152,-0.85229635,-2.6129863,-1.7631346,-2.452089
Gm15455,-3.8220282,-0.49109286,-0.84486055,0.4961599,-1.6482997,-1.9425828,-3.1369135,-1.1589627,-1.4184958,-0.09399682,0.2587285,0.7196257,0.47749972,-3.1274617,-1.3346336,-1.8609384,-1.0791757,-2.8687885,0.2854463,-0.26512063,-0.8537826,-0.76058936
Mir5103,0.009905145,-0.40305406,-0.21796718,-0.34543398,-0.64317477,0.41423625,-0.43771082,-0.6462661,0.22663853,1.086143,-0.9588366,0.048494875,-0.156117,-0.18829986,-0.3474242,-1.2370145,-0.23828442,-0.6584061,-0.25179902,-0.2987188,-0.067079484,-0.42813367
Prss39,-0.4682588,-0.7981134,-1.1190562,-0.32925677,-0.1459758,0.61209553,-0.78549147,-0.8330485,-0.95805043,-0.08810112,0.68157154,-1.6183048,-1.14094,-0.0344764,-0.7503545,0.3952436,-0.16754246,-0.8797143,-0.17034853,-0.18195362,-1.257556,-1.4145472
Sema4c,0.36189884,-3.572165,-0.51180756,-1.462371,-0.5648358,-1.1851588,-1.3549066,0.10717194,-1.2993652,-1.2015976,0.39979333,0.6888121,1.2770919,1.5972557,1.6613461,-2.820444,0.04547158,-1.3432615,-2.1279607,-0.6244551,0.5404104,0.14388025
Cox5b,-0.28823623,-0.45731813,-1.7391356,-3.513929,0.07622677,-3.555256,-1.5130739,-0.3883767,-0.40227956,0.20073009,0.07322568,0.9981061,0.69337416,-1.6910355,-0.042955637,-1.191652,-0.35029697,-1.9858143,-1.1321042,-2.1713834,-0.15489218,-0.6878
4930594C11Rik,0.83344984,-2.4679475,0.08092551,1.631063,0.32273847,0.02195242,-2.4526896,-0.17825305,0.821754,1.6295022,-0.048642315,-0.6009507,-0.7706694,-0.4862219,-1.0152972,0.25703788,-0.16882212,-1.8783234,0.15703446,-0.11770488,-0.7395753,-1.0126268
Lipt1,-0.17364913,0.7740432,0.2879175,0.021388113,-0.059903383,-2.8539543,-0.08839339,0.79500234,-0.0016377866,-3.6612809,-0.19211265,0.71357095,0.230335,-1.1445315,-1.4097853,0.28984642,-1.2753041,-3.1718912,0.12611973,-2.0250323,-2.6996834,0.1470303
Mir6349,0.6716478,-0.031997807,-0.026372306,0.97867656,0.32440838,-0.39299923,-0.13668582,0.75677,0.6526037,-1.0934093,0.22606882,-0.5323606,-1.5459149,-0.13727751,-0.8733071,0.4601215,-0.109442644,-0.8777579,0.020327173,-0.5913787,-0.1569825,0.90714943
Pou3f3,-1.2491314,-0.054156993,0.861793,-1.2920011,-2.5639856,0.23044842,0.54305744,0.9168862,-4.285976,-2.1468265,-0.1817544,-0.17268805,-0.3122601,0.18367715,-0.078612395,0.054694474,-0.027544899,0.5789825,-0.0018735956,0.30845556,-0.1630569,0.46359268
2900092D14Rik,-1.3317814,0.23601809,0.7687999,-1.0659546,-1.8368372,0.2292551,0.5359159,0.8880744,-1.5154117,-1.4725422,-0.13505775,-0.30386347,-0.36591855,0.062980205,-0.15951338,0.111993745,-0.051816404,0.56884325,0.07306751,0.26750278,-0.15675734,0.44202816
Hspe1,-0.11162436,-0.57292795,0.21820384,-1.9382023,-0.3099346,-1.550596,-2.7299392,-1.31552,-0.6932913,0.52764356,-0.33687848,0.9565805,0.15522379,-0.50175387,-0.39655492,-1.1382217,-1.2993542,-0.44458005,-0.3174291,0.4173107,-0.2964347,-1.309758
Gm20257,-3.4351923,-1.1418548,0.00274539,-0.14765458,-0.38972184,-0.28711772,-0.5427534,-0.5396482,-0.06926972,-3.5028205,-0.7626743,-2.7762547,-1.0756357,-0.36166605,-2.1629376,0.70908344,-0.38834113,-0.44588995,-0.5862111,-0.3708619,-0.36478537,-0.47213683
Fzd7,-0.09482671,-3.109311,-1.2805105,0.7007237,1.0773997,-0.47775775,1.0058235,-0.69894326,1.2606128,0.76139337,0.78660977,0.15521762,-0.20610362,-0.6283684,-0.8258262,0.23619461,-0.239585,1.3356379,-0.26990536,-1.3376335,-0.41191426,-0.48752517
Snora41,-0.12940934,-0.62803495,-2.5257323,1.0954492,-3.4903982,-3.1475801,0.49618334,0.16385686,0.9962925,-2.7519083,-0.2237374,-2.9161208,0.21296388,-0.1636999,-0.45664713,-3.0608103,-0.35988286,-2.008937,-3.2494183,-0.064872116,0.4212731,0.9811164
Fzd5,0.7091437,0.8195767,0.9822409,1.2166541,0.41942385,-0.13763809,0.32619172,0.13207269,1.038558,0.8871804,-3.9729445,-1.3227497,-1.531845,-1.4719946,-4.3960853,-0.29229125,-0.14708139,-0.6693825,0.069003314,0.26789102,-0.1403795,0.38481027
Cryge,0.46911478,1.1617398,0.19650328,-3.1587768,-0.03953886,-1.5790546,1.291307,-2.4410691,-0.94843364,-3.2279465,-0.42047817,-2.159274,-0.2176292,-2.3732982,-0.19013768,-2.3006167,-2.0311346,1.4789004,-0.5069279,-1.0967101,-0.35500827,-1.9809207
Crygc,-0.5110213,0.13718271,-1.597239,0.16580164,-1.219603,-3.0104823,0.1221478,-2.1137552,-0.659384,0.16686583,-3.0160704,-3.1825159,-0.3520765,-1.4870129,-3.989569,-2.652063,-0.58630615,-0.35948953,-1.1541743,-1.0750548,-0.35149348,-2.2394443
Crygb,-0.17941326,-3.4513469,-2.2632809,-3.0425923,-0.3532357,-0.35253197,-0.42282906,-0.8475351,-2.3341746,0.1385507,-1.621279,-3.1687624,-0.30512196,-1.0156785,-2.1973848,0.7180079,-0.26106852,-1.6613603,0.17763525,-2.4963832,-0.89574784,-1.7169143
Crygf,-3.933985,-4.051113,1.5946695,0.090283126,-1.4959778,0.59445715,0.5824316,1.4628415,-2.1167047,-0.40121096,-2.903452,-0.96593744,-0.6234489,0.20180628,-2.726088,-0.03749071,-0.15471148,-0.20962903,-1.7959566,0.8287039,-1.0427507,0.80534816
Mir1928,-2.9273508,-0.41682196,-0.04175833,0.3303147,-0.308044,0.8294444,0.12863463,-1.9836193,0.19448513,-0.8016609,-0.865504,-1.95509,-0.19468212,-0.75852114,-0.97802323,-1.6059994,-0.42848074,0.557558,-2.3672876,-0.16697577,-1.4374839,-1.6943005
Gpbar1,-3.0257215,-2.194384,-0.15204038,-3.5125425,-0.47628486,-2.8654227,-0.45280293,0.8189893,-2.7399693,-3.3244774,-0.07152572,-2.5321589,-0.10877666,0.35000098,0.5118856,-1.0149177,-0.35834354,-0.1435024,-1.3793355,-0.38807005,-0.36294785,0.42965263
Aamp,-1.1922209,-0.6241728,-0.06537813,0.41921693,-0.11749166,-0.122638196,-2.493096,-0.055757582,-1.0539558,-1.1706934,-0.527159,0.63638806,-3.0487046,0.26724946,-0.04383877,0.3178882,-0.42817548,-1.0208936,-2.1611085,-0.4942112,-0.44991606,0.070270985
Mir26b,0.10907549,-0.00074082613,0.21504852,1.084819,1.1524087,-3.3535438,-0.026531696,-0.9094346,0.80702627,0.12728256,-1.3402935,-0.3159976,-0.42919064,-1.2024931,-0.7991978,-1.7729199,-0.24408427,-0.84561723,-0.27743378,0.40516913,-0.30343264,-0.4658336
Bcs1l,-3.3304296,0.4221757,0.69501996,-3.322305,-0.6260188,-0.4097964,-0.12412441,0.070402384,-0.32415515,-0.010025233,-1.1459419,-0.3827724,-0.62700784,-1.8563972,-3.3144646,-0.66792506,-0.56825244,0.5406817,-3.011019,0.062965035,-0.18019706,-0.86349684
Mir375,0.29914296,0.6579013,0.5422587,0.47752255,-0.0033887234,0.14715603,0.05564133,0.7512103,0.41834927,0.035352156,-0.22927622,-0.33087382,-0.72366655,-0.67711866,-0.89066887,-0.36413294,-0.057193894,0.21107069,-0.0825037,-0.12826164,-0.16653542,0.42223608
Ankzf1,0.81180406,-0.3011214,-0.079081,-0.849621,-0.5058499,0.81228054,-2.4560075,-0.5661201,-0.07510623,-1.5878129,-1.3257884,-0.1374107,0.111781806,-0.67831933,-0.48850405,-1.0281143,-0.37131327,-1.632997,-0.1370976,-0.30270386,0.34353554,-1.3989487
Stk16,0.10851595,0.27920735,-0.3346592,0.8568964,-0.97540283,-0.65671325,-0.741394,-0.5334373,0.010454744,-3.1545255,-1.275167,-0.33237526,-0.031278014,-1.0969517,-0.5824655,-0.7166846,-0.17629705,-0.27232644,-0.14548303,-0.12701073,-0.42850214,-0.045167
Chpf,-0.6224555,0.15437554,0.2454901,-0.14203236,-0.6381165,0.25659,-0.11230549,0.28485572,-0.48232442,-0.4266164,-0.31778744,-0.88551265,-0.2319829,0.07339488,0.046246834,0.04103791,-0.049060374,-0.16566485,-0.021783764,-0.049335286,0.0015662201,0.31895623
Inha,0.635923,-1.4199334,-2.2769492,0.4441768,0.9070548,0.7384001,-0.2938234,-2.205091,0.56764746,0.20575747,-1.1532367,0.59742785,0.596752,0.71162075,0.9527048,0.37262052,-0.1436809,-0.12861034,-0.9103229,-0.5910092,-0.28146082,-0.5176114
Mir6344,-0.09648047,-1.2364361,0.7427312,-0.13353573,-1.1967602,0.28620556,-0.13474202,-1.1720483,-0.75251806,0.12758882,0.823293,-0.07654929,-0.052662544,-1.4753157,-0.8540041,0.6377865,-0.123771325,-0.044721063,0.04201173,-0.15112455,0.36734644,-0.007022746
Krtap28-13,-3.2444665,0.0990884,0.3034845,-0.47225022,-0.8283981,-3.260131,0.18886232,-2.5943818,-1.8858411,-2.4441898,0.6008787,-1.3345795,-0.16353755,-0.48440787,-1.2279284,0.9086766,-0.34207428,0.39954185,-0.28562605,-1.1068666,-0.74427223,-0.6971354
Mir5126,-3.6755474,0.85039914,0.4725644,-1.5078444,-3.2338223,-0.3000576,-0.08038694,0.9776298,-4.1515074,-3.2912624,0.1211354,-0.63774693,-0.7337978,-0.6548064,-0.5180563,0.09915231,-0.034864955,-2.4494205,0.13006508,-0.14917016,-0.08292056,0.99185526
4933407L21Rik,0.63870686,0.3917821,-1.7620478,-0.94492674,0.6848217,-0.5111866,-3.1072419,-0.3491389,0.45335585,0.9364191,-0.4288195,-0.39558116,-2.123522,-1.5160543,-0.9015684,-0.603516,-0.25179014,-0.32995075,-0.3304575,-0.30228963,-0.32625914,-1.8194145
B3gnt7,0.61201876,0.60161394,-1.5180717,0.6654195,0.759995,-0.6290561,0.084747255,0.33551416,0.7366295,0.14910358,0.4021057,0.5953604,-0.3473646,-0.67222494,-0.25273192,-0.1367301,-0.15631576,0.42975587,0.24792302,-0.42771867,-0.779285,-1.7966702
Snord82,-0.20659308,-0.43667978,0.018061936,-3.7196052,-1.5174365,-0.16404638,0.33962208,0.08410558,-2.368735,-3.0155325,-0.42608866,0.29304314,0.37445801,-0.2268147,-0.7885396,-1.3234825,-0.2512335,0.36360526,-0.54826707,-0.25600594,0.27818435,-1.7175472
Alpi,-0.86941993,0.24581057,0.4101491,0.092374146,-0.094840676,0.5570749,-1.7057698,-1.6340731,-0.19861907,-1.6117654,-0.517291,0.09869811,-3.2454405,-0.27446887,-1.1989241,-0.53001535,-0.15994811,-1.5806177,-0.69625026,-0.04369518,0.18571112,0.19412917
Akp3,-0.9037431,0.7502567,0.2369048,-0.18476745,-0.19047089,0.04899703,-0.35813606,0.5733246,-0.2930454,-0.36842602,-0.6783402,-0.79759955,-0.74871093,-0.57426715,-0.7434118,-0.6738764,-0.0028033964,-1.0717572,-0.07015826,-0.050913766,-0.33176005,0.22392309
Snorc,-1.8136178,0.26652256,0.44803584,-1.1886425,-1.4697777,-0.39716506,-0.6472345,0.44299757,-0.64147604,-0.8155701,0.3940948,0.15873626,-0.70029116,-0.33504432,-1.275389,-0.8035789,-0.068812944,-1.3531276,-0.6069285,0.0054976717,0.20588022,0.058507204
Scarna6,0.36808908,-0.6412287,-0.6664508,0.8438319,-0.4683976,0.0013189316,-3.4581375,-0.362442,-3.313439,-2.4075222,-3.2793212,0.84442186,-1.5008774,-1.5501148,-0.72832453,0.21751654,-0.8441621,-2.6166797,-0.07375306,-0.073966205,-1.2858124,-3.3740413
Gm19582,-0.9925913,0.14146984,-0.03889464,0.27692634,0.14497083,0.19400209,-0.99737847,-1.534444,-0.4487922,-0.030265331,-1.8871337,0.55617565,0.18850976,-0.11035903,-0.61084235,-0.43034708,-0.22580056,-1.1798446,0.54135525,-0.88832927,-1.1321301,-1.2670687
Dnajb3,0.0029492974,0.74323666,-1.9051186,-3.2780511,-1.7019541,-1.5636209,-2.7857475,-2.2916346,0.014082432,0.99546707,-1.7847645,-3.629785,0.25868726,0.48944962,0.45011187,-0.6003055,-2.0029035,-2.9931493,0.3813764,-0.80924547,-2.2175567,-0.9069497
Platr5,0.24078032,0.45440936,0.3105532,0.52754754,-0.017128378,0.10661119,-0.51939344,0.15454662,-0.16541705,0.25034755,0.589499,0.6621994,-2.7065423,-1.2780315,-2.34279,0.97301674,-0.4483647,0.6552923,0.46626675,-1.0966144,0.013020396,-1.5812719
Prlh,0.038066894,1.0498475,0.2691056,0.5911308,-0.14082496,0.94135857,-3.5911682,-0.35969648,-0.601907,-1.7446809,1.0847018,-3.4499753,-3.6022167,-0.08391747,-2.9436605,0.5169995,-0.35313353,-2.7204735,0.15116501,-0.9071428,0.25984156,-0.73717165
Erfe,0.70915437,0.7371611,-0.22264548,1.3237144,1.251824,-0.41314787,-3.3964715,0.3687094,1.4756321,0.5869969,-0.28987586,-0.48334888,-0.36498457,-1.8060979,-0.92716795,0.31010616,-1.6462655,-2.512631,-0.67167765,-1.0270191,0.2535135,0.2592255
1700020N18Rik,-0.405465,-1.5425597,0.40957296,1.0048021,-0.45747095,-2.4266171,-0.770522,-3.4069762,-2.6967936,-0.589222,-0.2543155,1.3640873,0.9384897,0.43182993,0.73310685,-2.524243,-0.3123945,-2.5125892,-0.64042646,-1.5088938,0.6638173,-2.6502995
Hes6,0.60533816,-1.5679022,0.44747204,1.0582458,-0.06382716,-0.8172755,-0.9105241,-0.17524675,-0.9641523,0.30261153,0.29924846,-0.41184878,-0.27880862,-0.23321186,0.28763473,-2.9531465,-0.27724764,-1.8895974,0.056641787,-0.5554622,-0.096211836,-1.8959043
Mir6900,-0.7784543,0.4174552,-0.5192907,-3.4131315,-0.3789907,0.7851633,0.41620177,-0.004502088,-0.58957833,-0.59836197,0.34014148,-2.1877127,0.15066147,-2.101945,-0.74999344,0.55264974,-0.442033,-0.49801534,-0.20519634,-0.35022652,-0.35508376,-0.52831364
Olfr1416,-1.2186083,-0.036354706,-2.277603,-1.4350514,-0.31110388,0.21295384,0.18810943,0.49342644,-0.09421838,-1.0714997,0.31384525,-1.929748,-0.5964893,-0.5077461,-1.3968182,0.32314062,-0.17026585,-1.3781439,-0.030055732,-0.19186626,-0.17227107,-0.9924233
Olfr1415,-2.8156052,-0.028542355,-1.1333292,0.6362129,-1.0769539,-0.41398692,0.27532965,-1.5099114,-0.5040133,-1.8395698,0.46768266,0.28071982,-0.62547946,-1.4786209,-1.5141078,-0.70926464,-0.12459177,-0.7033278,0.2699309,-1.8056784,-1.3196996,-1.2292993
Olfr1411,-2.681167,-2.4596853,0.16197768,-3.6491435,-1.9199258,-1.0832009,-0.30246785,-0.14183427,-0.76636505,0.21551138,0.31883907,0.6571233,-3.7679908,-0.060636193,-1.8594525,0.108881414,-0.28926674,-0.4213269,-0.28788257,-0.17885235,-0.2878387,-1.2834324
Olfr1410,-2.4123147,-0.5766268,-0.37363622,-3.3710134,-3.5126743,0.9147872,-0.12110155,0.5339595,-0.57572216,-0.5458102,0.5846774,0.08489162,-2.7184129,-0.5237584,-1.0265076,-0.0056812763,-0.18037917,-0.36082673,-0.5466802,0.007825419,-0.6194025,0.11549556
Olfr12,-3.5343924,-0.2142162,-0.34419972,-1.2544075,0.18331647,0.56891775,-0.23833913,0.5164921,-0.57229364,-0.06907107,0.59903616,-0.018976584,-0.85603595,-1.0302036,-1.5280347,-2.2278748,-0.05219362,-0.6162193,-1.0800283,-0.17360559,-0.39174476,-0.5975224
Mir149,-0.5629735,-0.7660186,-0.26882297,0.139007,-0.3390781,0.19658217,-0.071254835,-2.734976,-0.12329452,-0.3100957,0.8549442,-1.4160792,-0.30384135,0.292211,0.19435105,0.22220612,-0.14143501,-1.0010755,0.02116172,-0.4381169,0.3273062,-0.5455425
Dusp28,-0.10285691,-0.00399065,-0.113068365,-0.49707887,0.9490433,-2.3086083,-1.3767889,-0.07350896,-0.3093674,-2.4205122,0.4570281,-2.199039,0.25369984,-0.62854356,-0.35270146,0.45414388,-0.21156256,-2.8229897,-0.022815168,-0.3141402,-0.19192494,-0.7775741
5033417F24Rik,0.2119253,-1.025128,-2.0800939,-0.4512663,0.115356416,-0.23468828,-1.2369671,-0.5205147,-0.7621993,0.31098688,-0.009007856,-0.17201506,-0.09078823,-1.329832,-0.3479161,-0.045672238,-0.18253727,-1.6058114,-0.11886387,-1.25979,0.080604315,-0.6399876
Mir6901,0.28254056,-1.5034274,-3.0575204,-0.8308073,0.7515688,-0.59764713,0.22987211,0.1478113,0.25708085,-2.185724,1.1081723,-1.5341256,-2.617084,-0.53416854,-0.5484618,0.3424577,-0.37116656,-2.0554903,-0.9082039,-0.05399838,0.20084906,-2.4618845
Mir6902,-2.8031654,-2.3142757,-0.39622048,-0.12114102,-1.3429761,-1.2168705,-2.7526827,-0.04130113,-0.4423054,-0.14117199,-3.4142148,-3.3330908,-0.769362,-1.5966538,0.07673842,0.16797358,-1.3910661,-0.7047503,-2.278714,-0.08721411,0.038645983,-0.41423234
Mir6345,0.4241855,-0.62158304,-0.72805035,0.31345022,-0.70593566,-0.45301476,0.05729115,-3.222812,-0.6197879,-3.6134756,-3.2516432,-0.29659045,0.021272719,-3.2285974,-1.9076803,-0.03389001,-2.4224837,0.5414448,-1.8599169,-0.058457017,-0.7554678,-2.9233637
Panct2,-0.0745222,0.80107623,0.74840707,-0.9534602,-1.8410447,0.038928792,-0.9174298,0.3292796,-0.92815715,-0.07301788,-0.44043377,-1.8565643,-2.7187843,-0.9867074,-2.7957256,0.45713586,-0.112318866,-0.12298085,0.3934043,-0.4761337,-1.2669073,-0.16514857
Mir3473f,-0.57257736,-1.0136236,-0.8997587,-3.854283,-0.93776596,1.7582626,-2.002715,-1.4907087,-3.418919,0.14597675,0.35136306,0.07816613,-3.1001241,0.019685715,-0.5179564,1.1866046,0.35832125,-2.0217566,-0.8845097,-1.6450243,-1.0739002,-0.10506716
Tmem185b,-1.3006117,-1.3697251,-0.48920518,-0.91508174,-0.45346433,0.8296784,-2.7668705,0.0034338534,-0.59389675,0.537126,0.055223554,0.40750414,-0.47380528,-2.5533996,-0.82037044,0.09672102,-0.41531777,0.059773594,-2.0511827,0.15009797,-0.44811732,-0.73090863
Tmem37,0.36387435,0.51876825,-0.22627546,0.5056216,1.0694668,0.49412686,-1.8818492,0.3145627,1.0476625,0.3597038,-0.6261727,-0.3294967,-1.027804,-2.8093977,-1.7077851,-0.18598056,-0.30790517,-1.372773,0.29762778,-0.02717854,-0.6331047,-0.010931566
Tmem163,1.5789708,-0.07049761,0.03162811,1.0520769,-0.33741716,0.17154735,-0.06592006,0.85058564,0.79642665,1.2636186,-0.92213553,-0.6046167,-0.806333,-0.2676493,-0.93811405,-0.07897571,-0.05477325,-0.07444458,-0.10531842,-0.05655448,-0.33797935,0.18727377
Il19,-0.64176667,-1.8791132,-0.028765678,0.35688365,-3.4110863,0.49800324,-0.88446826,-0.48430228,-1.1121924,-0.78616166,0.7530837,-0.012643665,-1.5056589,-0.5359764,-1.3779533,0.2444951,-0.3063028,-0.98543155,-1.7591661,-0.063991874,-0.502965,-0.12395029
Mir135b,-0.70247847,0.8415245,0.6711574,0.01570366,-1.330256,-0.08270704,-0.5169561,0.7068419,-0.8889735,-0.44210303,0.15293466,-0.12708998,-0.24409363,-0.2767964,-0.18013085,0.2339564,-0.03547593,-0.74978185,-0.12909639,0.02078043,-0.05089523,0.26598305
Zbed6,-2.9787583,-0.85246766,0.60482705,-3.543196,-3.3229601,-3.0663235,-0.55052865,-3.1773796,0.31041312,0.38070494,-0.29086626,-2.501017,0.6165211,0.20567447,-0.57678044,0.16375351,-0.5494395,-0.12093416,-0.53985524,-0.62085074,-0.3679806,-1.4117706
Btg2,0.44137782,-1.2143834,-0.49245143,0.100474834,0.1741409,0.3803252,-0.63931996,-1.0709083,-0.18790945,-0.27105045,0.36317053,0.44077533,0.5327323,1.151185,1.1447101,-1.4111707,-0.24267451,0.058737263,-0.23729724,-0.108696066,0.019957885,-0.10326721
Gpr37l1,-0.29741162,-1.2401856,-0.812557,-0.28468496,-0.50183105,0.2653258,-2.327083,-1.5795022,-0.41918167,-0.2994038,1.9810405,0.7699578,-0.8158579,-0.023454964,0.01874502,0.26748106,-0.15821633,0.086486414,-0.05549246,-0.37190235,-0.6559277,-1.2141933
Elf3,-3.240908,-0.43151274,-0.2971226,-0.38274175,-0.087685615,0.3655439,-2.3141992,-2.2889085,0.12460348,0.0753617,1.5788022,0.032138243,-0.1285558,-0.14869519,0.12874836,0.3478324,-0.12820397,-0.33197528,-0.114785746,-0.24883229,-0.1431938,-2.3253357
Shisa4,-0.24366668,-3.4226317,0.073658854,-3.273813,-0.53107846,0.50387937,-1.098984,-0.9487433,-0.6053942,-3.1827054,0.92239106,-1.0588725,0.37769377,0.6786305,0.8625871,-0.1424741,-0.4804275,0.67404413,0.41111583,-1.9171177,-0.49472785,0.031796455
Phlda3,0.30167013,0.22737351,-0.49901363,0.7581013,0.66320336,-0.39105135,-0.010520436,-2.0105753,0.31877473,0.11047539,-0.1846498,0.681331,-0.1291944,0.6225573,0.7244581,0.22408783,-0.1460712,-0.05554405,-0.7896848,-0.8632262,-1.0398645,-0.13834618
Ascl5,0.22933605,0.6370373,-0.020700589,-0.99862814,-0.5285336,-0.067332774,0.033493802,0.64914703,0.17084703,-0.81701493,-0.06378137,0.09065078,-0.22360517,0.15890911,0.12709522,-0.4176031,-0.044312544,-0.080957204,-0.0016484298,-0.04412348,-0.042937115,0.18765406
Gm15850,0.8558217,0.02539143,-0.3105531,-0.57558244,-0.27130237,-0.38850716,0.20341325,-0.8201914,-0.9496291,-0.60521185,-0.376253,0.78360516,-0.00740733,-0.28457266,-0.25763434,-0.19559354,-0.06152734,0.05193357,-1.3273065,-0.005062945,-0.0768844,-0.8801445
Mir181a-1,0.6043549,-0.015996322,-0.2710388,0.221048,0.74589664,0.5916741,-1.2949165,-0.24389598,-0.017110646,0.41476852,-2.3378344,-0.4125566,-3.449482,-0.9874025,-2.560417,0.8652042,-0.29142764,0.46184993,0.2642098,-0.29995805,-1.374563,-0.32951313
Arpc5,0.36509013,0.2285282,0.3299513,0.22847447,-0.27750456,-1.2950274,-0.007916033,0.6559127,-0.7877883,-1.1507397,-0.12122637,-0.5747516,0.4088555,0.37563968,-0.026803717,-0.124595225,-0.2250342,-0.22458805,-0.8890703,-0.7105156,-0.115369454,-1.8131454
Teddm1a,-3.4309022,-0.4949802,0.29151946,0.59897745,-0.73936987,-0.29279444,-0.008236796,-1.8270266,-3.4502032,-3.4303153,-0.50095713,0.26943105,0.51436037,-0.8540444,-3.8550704,-1.0374764,-0.31546634,-1.8972956,-0.24960032,-0.5161141,-0.38810095,-1.3520858
Mir8114,0.25736666,0.70177984,0.87360775,0.7227969,-0.15989679,-1.4977648,0.11216909,-0.9124733,-0.068591,-3.658517,-1.5689301,-2.8097699,-0.3079616,-0.43294874,-0.9497134,0.54401135,-0.57431895,0.8797449,0.23244774,-0.39909607,-0.79737747,-0.4070149
Mir488,-0.4157428,-2.0801125,-0.047639295,-1.6450895,-0.33613232,0.36230266,-1.5599129,0.22731459,-1.1806448,-1.5752499,0.8236096,-0.044941843,-0.90603477,-0.36690375,-0.9664907,0.0496867,-0.07629055,0.010457858,-0.23531206,-1.7194312,-0.3264347,-1.5529048
4930562F07Rik,-0.28723192,-0.31226984,0.06161952,-3.5966713,0.6811545,-0.7262813,-0.23004976,-1.0511439,0.23378897,-3.3695416,-2.3701334,-2.3933952,-1.2750163,-1.4249742,-1.0804988,0.94563067,0.55482113,-3.0863025,-0.03864616,-2.4515805,-0.6043606,-2.0634537
Snord47,-0.2222005,0.075698435,0.6940133,-3.4962325,-1.3959303,-3.6296844,0.32096946,0.18076041,-0.4623358,-3.5487268,-1.1053665,0.20046493,-2.946554,-0.1439487,-0.29321274,-1.277791,-0.25868905,-0.17903861,-0.35479409,-0.380348,-0.39944524,0.23473483
Mir6347,-0.23804262,-0.14301568,0.41560954,-2.1444845,-0.21898815,0.08187191,-0.48125857,-0.93066466,-0.8525737,-0.49754432,0.010177106,-0.017976582,0.44865328,-0.28006035,0.018685669,0.162153,-0.103537716,-0.85727257,-1.7360475,-0.21927448,-0.03712269,0.16668049
3110045C21Rik,-2.013566,-2.9519641,-1.2155352,0.33702803,-3.4802241,-1.1454661,-1.1950909,-1.0902004,-1.1864762,-1.5281899,0.22051227,-3.3117888,0.56124246,-0.61647326,-0.7234628,-2.5777385,-0.79105717,-2.9129052,-2.6869218,-1.7629647,-0.6510294,0.5931977
Spata46,0.7351221,0.28273535,-1.9720951,-2.950996,-0.6472656,0.2322123,-1.0057564,-3.610047,-0.6470649,-3.4988658,-1.8056208,-3.2226157,0.077426076,-2.3398128,-2.375961,0.9065753,-0.828505,0.050531387,0.33439732,-1.9021338,-0.7498011,-2.5506544
Apoa2,-0.3556388,0.16445306,-0.058003187,-3.142279,-0.24918494,-0.020547539,-2.7522752,0.45292914,0.6728881,-2.9715977,0.18560016,-2.1774402,0.47922146,0.35974872,0.0844309,-0.3924673,-0.34664008,-0.18727422,-2.0010574,-0.29398617,-0.31741008,-0.96662474
