Dataset,method,ari,mi,nmi,ami,hom,vme,average,jaccard 1,jaccard 2,moran I
6_Mouse_Embryo,CellCharter,0.17675956174604943,0.8858323938569286,0.36459287376450283,0.3537463181620787,0.3740336048778928,0.3645928737645029,0.41992627102865926,0.11638950496263228,0.029495419804235784,0.5639642452298333
6_Mouse_Embryo,CellCharter,0.17349677035105343,0.9004830384660918,0.3670075323362631,0.35631645345284785,0.38021968867314765,0.3670075323362631,0.42408850260261116,0.11421499041057126,0.030665923685840674,0.580151137711944
6_Mouse_Embryo,CellCharter,0.2004960146076734,0.9019885011086636,0.3725264193015868,0.3617866928967685,0.3808553547688053,0.37252641930158675,0.4316965669975141,0.11296240419783575,0.030067701712330034,0.5675058180447095
6_Mouse_Embryo,CellCharter,0.20270133774887475,0.8852061829584339,0.363431989616719,0.35259288787683035,0.3737691937755193,0.363431989616719,0.42352226359884937,0.1159910969141441,0.03003058277749987,0.5612299112346173
6_Mouse_Embryo,CellCharter,0.23179222873733699,0.9375925644850903,0.38421749414555395,0.37375317923436957,0.3958888038335916,0.384217494145554,0.45124362743024937,0.1158760015943827,0.02940648618252225,0.5435056995184537
6_Mouse_Embryo,CellCharter,0.1871864553754833,0.9067997668532587,0.3786414366297579,0.3678649286039642,0.38288686217692913,0.37864143662975785,0.4336701477115252,0.11544676160117165,0.031163680174125952,0.5673694995060977
6_Mouse_Embryo,CellCharter,0.18876148325219977,0.9659697926730019,0.4015686875377137,0.3912511715048209,0.40787079617116395,0.4015686875377137,0.45949843644610233,0.11394275817462081,0.029570720878992218,0.6475666321614332
6_Mouse_Embryo,CellCharter,0.21676409527177087,0.8938487176874931,0.37277593040432827,0.36189332891052617,0.37741841505305423,0.3727759304043282,0.43257940295525016,0.11467629859716155,0.03129109736400793,0.5022638233923692
6_Mouse_Embryo,CellCharter,0.18573194858398304,0.9175989619833458,0.37808459612442474,0.3674411639393853,0.3874467110967674,0.37808459612442474,0.43573132964205524,0.11432054524074081,0.02943202785484297,0.5580482335828735
6_Mouse_Embryo,CellCharter,0.17939178830682756,0.8417700744979354,0.3456822193857908,0.33452901285287867,0.35542874433834126,0.34568221938579075,0.40041400979459413,0.11784439296835676,0.030548842124120477,0.5640574380723126
