Dataset,method,ARI,MI,NMI,AMI,HOM,VME,Average,jaccard_RNA,jaccard_ADT,moranI
4_Human_Lymph_Node,miso,0.25512057137273764,0.5259747700052064,0.3541350098014081,0.3503639307234578,0.31178039407878105,0.3541350098014081,0.35858494763049986,0.09854794120153317,0.16627812664653355,0.31474684006443426
4_Human_Lymph_Node,miso,0.25648540672619524,0.528438931581938,0.35543291706917324,0.35155648180281096,0.3132410673111864,0.3554329170691732,0.3600979535934128,0.09389883709650748,0.1782676557661252,0.3044351592181039
4_Human_Lymph_Node,miso,0.2645984329988148,0.5386468213406194,0.3601567841577574,0.35638615369261106,0.3192919657062614,0.3601567841577574,0.3665394903423036,0.09946979005751949,0.16427650128070945,0.30344276163601813
4_Human_Lymph_Node,miso,0.2546649161942364,0.5239078457112278,0.35459928058256257,0.3508023311403335,0.31055518992896747,0.3545992805825626,0.3581881406899818,0.09723660036174876,0.16665420845678927,0.3039441540575423
4_Human_Lymph_Node,miso,0.2567524368764148,0.5206386277185381,0.3510632045718423,0.34737315299547644,0.3086173059614909,0.3510632045718423,0.3559179887826008,0.09077659402128155,0.19801369220850265,0.28898739513552774
4_Human_Lymph_Node,miso,0.26513876175477924,0.5336318186194711,0.35709883413281374,0.35342893408848003,0.31631923846938215,0.3570988341328138,0.36378607019962333,0.09193768598986751,0.18973636917159875,0.2949269089472565
4_Human_Lymph_Node,miso,0.256897416184688,0.522902834995519,0.35402546286266623,0.3501667948386168,0.3099594529186276,0.35402546286266623,0.3579962374437973,0.0969491186387004,0.15834577836437527,0.3033525269553203
4_Human_Lymph_Node,miso,0.24702687555777988,0.5171608838482512,0.3478515425253151,0.3438757944649829,0.3065558147717664,0.3478515425253151,0.3517204089489017,0.09162537815003358,0.17740681292269425,0.30631609642972346
4_Human_Lymph_Node,miso,0.19901264131236562,0.46209123357937826,0.29626337085500004,0.2921866820570807,0.27391235306648365,0.29626337085500004,0.30328827528755137,0.09239624266805943,0.19390924287879935,0.26178869858576304
4_Human_Lymph_Node,miso,0.2606848229419388,0.5316266556972382,0.3585843946506647,0.35483801135915344,0.31513064441176275,0.35858439465066466,0.36324148728523703,0.09485472544853413,0.17426041618055313,0.2860970839958539
5_Mouse_Brain,miso,0.0959661339043758,0.4449765275255113,0.24033936725607194,0.23834345601711776,0.22270736801282198,0.2403393672560719,0.2471120366619951,0.0698599211285106,0.016056404042749443,0.25332143667327395
5_Mouse_Brain,miso,0.09823116224262879,0.4602923070270657,0.24388999493422875,0.2418436580252771,0.23037279917797562,0.24388999493422875,0.2530866527235675,0.07099394717908504,0.01622295054074105,0.2647236354994214
5_Mouse_Brain,miso,0.15393972718128043,0.589180671230026,0.2985103430095691,0.29670940104595245,0.29488044527504675,0.2985103430095691,0.32195515512524064,0.06921380453389173,0.015984320349597805,0.2738324626582678
5_Mouse_Brain,miso,0.13998068942877465,0.5312648918269963,0.2931722188421472,0.29136835077744744,0.26589403812906426,0.29317221884214717,0.30247540130776285,0.07016408603586739,0.016116335665749063,0.25245589517771283
5_Mouse_Brain,miso,0.1397848060362393,0.5285457738214948,0.2738084814762702,0.2719847134890196,0.26453314024600283,0.2738084814762702,0.2920775660908828,0.0699902082534214,0.016331465877159508,0.2530774232324013
5_Mouse_Brain,miso,0.09776165078526916,0.4407497264042554,0.23561950009437324,0.23352592663701924,0.2205918861961444,0.2356195000943732,0.2439780317019058,0.06988086463879978,0.016115091941840493,0.2601436578742351
5_Mouse_Brain,miso,0.09943072842636388,0.4508800212372293,0.23941149146476365,0.23734748723903756,0.22566202171990224,0.23941149146476365,0.24869054025867668,0.07133471640507456,0.016293494400959833,0.2608836240931271
5_Mouse_Brain,miso,0.10215883168372292,0.4632491622544136,0.2457513835937303,0.24381098142290392,0.23185268273259718,0.24575138359373028,0.255429070880183,0.07057312651311748,0.01608487120893926,0.25083414434613094
5_Mouse_Brain,miso,0.10315153972687886,0.46063141321054635,0.2426156510010578,0.2406823938869331,0.23054251924393016,0.2426156510010578,0.25337319467840064,0.07037732115481303,0.016038577226288896,0.2483080446413795
5_Mouse_Brain,miso,0.08980095162269422,0.4060186359951095,0.22078448709114754,0.21882470791915698,0.2032092395737497,0.22078448709114754,0.22657041821550092,0.0702896888725482,0.01622987264147313,0.2227159134764792
6_Mouse_Embryo,miso,0.0950262728260284,0.3897354928509173,0.20776391409851303,0.1973817611322631,0.16456179786470407,0.20776391409851305,0.21037219214515648,0.13820925256690927,0.04094673354937084,0.1966086468651866
6_Mouse_Embryo,miso,0.0968310155981574,0.4071271374217055,0.21819493966165443,0.2070299141766137,0.1719052406634527,0.21819493966165443,0.21988053119720638,0.13760433420800008,0.04052358601117852,0.2152014866069334
6_Mouse_Embryo,miso,0.09553851094534038,0.4221698649178544,0.22448865468319681,0.21196114804469057,0.17825687741956925,0.22448865468319684,0.2261506184489747,0.14023839890751863,0.041654496933707666,0.25921985186828117
6_Mouse_Embryo,miso,0.0968353375782423,0.3914989630413335,0.2107516876996386,0.2003808514208316,0.1653064049901493,0.2107516876996386,0.21258748873830569,0.13858463971371657,0.04119010774547538,0.18713794342881138
6_Mouse_Embryo,miso,0.11721968024054778,0.482366788644596,0.24706615715313593,0.23601979266218423,0.20367440847873397,0.2470661571531359,0.25556883072205566,0.1403501349696438,0.04071398432205165,0.2363296995225316
6_Mouse_Embryo,miso,0.09565069384311353,0.4089700343552234,0.21901185380533023,0.2083538395300382,0.17268338491313506,0.21901185380533023,0.22061361004202842,0.1388448475366177,0.040728206702512294,0.2097177545985553
6_Mouse_Embryo,miso,0.09432971259131197,0.3904387903177803,0.2115339139949848,0.20109897024720572,0.16485875797663552,0.2115339139949848,0.2122990098538172,0.13776495049580792,0.04104003939730021,0.18988666220303665
6_Mouse_Embryo,miso,0.09660867732228584,0.4172432685113358,0.2216015410800468,0.21062216309891485,0.17617667282727,0.22160154108004682,0.22397564398665004,0.14002150463068855,0.04042260856982952,0.2159374618217503
6_Mouse_Embryo,miso,0.09636955237118075,0.4087249198032803,0.21891015864633526,0.20862115672295753,0.17257988781807837,0.21891015864633526,0.22068597233469459,0.14101141044490334,0.04090345042479457,0.20264599027862165
