Dataset,method,ari,mi,nmi,ami,hom,vme,average,jaccard 1,jaccard 2,moran I
5_Mouse_Brain,CellCharter,0.1477059489141285,0.7274039115007246,0.3794248987634815,0.37814079883241214,0.36406012585297637,0.37942489876348146,0.3960267637712007,0.023297229522733196,0.01912989821168569,0.6218694106607903
5_Mouse_Brain,CellCharter,0.15476468081506417,0.7604999585642672,0.39855737799327734,0.397309461004245,0.38062444571528076,0.3985573779932773,0.4150522170142353,0.023297229522733196,0.01912989821168569,0.6516383400777468
5_Mouse_Brain,CellCharter,0.20464290344799546,0.8775480492810351,0.44547439768446745,0.4443644601101109,0.43920612497691985,0.4454743976844674,0.476118388864166,0.023297229522733196,0.01912989821168569,0.7090927084080705
5_Mouse_Brain,CellCharter,0.18542612750257126,0.7847579924950085,0.40401949707992657,0.40280437537434094,0.3927654072170566,0.40401949707992657,0.42896548279147173,0.023297229522733196,0.01912989821168569,0.6310781665058803
5_Mouse_Brain,CellCharter,0.1583032167237954,0.78913624608654,0.4047121363420051,0.4035063788266624,0.3949566898433222,0.40471213634200504,0.425887800694055,0.023297229522733196,0.01912989821168569,0.6360585743259187
5_Mouse_Brain,CellCharter,0.3569623794316363,1.0099032320294261,0.5046503002843178,0.5036721560838622,0.5054488873910795,0.5046503002843178,0.5642145425841066,0.023297229522733196,0.01912989821168569,0.6243473918542699
5_Mouse_Brain,CellCharter,0.12037005320685015,0.6266933579266195,0.32648398476788226,0.32509123896302594,0.3136552596854742,0.3264839847678822,0.33979631321962245,0.023297229522733196,0.01912989821168569,0.5395786879571369
5_Mouse_Brain,CellCharter,0.2739925919657312,0.9322703777844432,0.4652224338474757,0.4641707635535156,0.4665942342336004,0.46522243384747564,0.5112454725387069,0.023297229522733196,0.01912989821168569,0.6486917921278306
5_Mouse_Brain,CellCharter,0.09155629283844866,0.6821782238548515,0.3604208302760184,0.3590865936615551,0.34142501312423823,0.3604208302760184,0.3658479640051884,0.023297229522733196,0.01912989821168569,0.6412349047396249
5_Mouse_Brain,CellCharter,0.19882391892519766,0.8042049342125183,0.40484123873097017,0.40365080701174044,0.40249845365411174,0.40484123873097017,0.43647676521091805,0.023297229522733196,0.01912989821168569,0.5438553457709597
