dataset,method,ARI,MI,NMI,AMI,HOM,VME,Average,jaccard_RNA,jaccard_ATAC,moranI
5_Mouse_Brain,miso,0.15893531394645657,0.5785629610415057,0.29208244621935886,0.29009158540937924,0.2895663620725958,0.2920824462193588,0.3168868524847758,0.07774309461096077,0.01498401138405457,0.33288532424584577
5_Mouse_Brain,miso,0.13803820274367487,0.5756863027849487,0.2946080686769493,0.2926814848531321,0.28812661649196303,0.2946080686769493,0.31395812403793616,0.0786086983231175,0.014713936592589424,0.32693512462467283
5_Mouse_Brain,miso,0.10663556638373088,0.5081207457701191,0.2571157406053522,0.2550254677532119,0.25431056903712224,0.25711574060535214,0.2730539716924814,0.07474171429940932,0.014807527175981076,0.314668185177204
5_Mouse_Brain,miso,0.17004266370222934,0.6297076378315157,0.319066280945262,0.31714253789661884,0.31516388385449823,0.319066280945262,0.345031547529231,0.079775090481653,0.014427074769040123,0.3366651480023875
5_Mouse_Brain,miso,0.14073081705510845,0.59234182215154,0.29462700210085707,0.2926789204012502,0.2964625772709447,0.2946270021008571,0.3185780235134263,0.07394501002929078,0.015338067803941806,0.3357763785478741
5_Mouse_Brain,miso,0.16131589200620355,0.6510775882086717,0.32184083298041843,0.3199031912404451,0.3258593815013672,0.32184083298041843,0.35030628648625406,0.0803480395732965,0.014837587841116532,0.35652365870142494
5_Mouse_Brain,miso,0.16704781677142766,0.6508363858264516,0.3284590343049765,0.3265775941782522,0.32573866154339237,0.3284590343049765,0.3545197544882462,0.0766867764728107,0.014579882623652535,0.34701352352581655
5_Mouse_Brain,miso,0.11914683837225047,0.5196520382525688,0.2668970440040347,0.26479182203069385,0.26008189322995884,0.2668970440040347,0.2829111133155902,0.07704575496102464,0.014936163660810109,0.310176220817488
5_Mouse_Brain,miso,0.13102954995472862,0.5659172239484369,0.2750039833292511,0.2730539537995343,0.28323726682741346,0.27500398332925113,0.3005409935314359,0.07413059163224647,0.014667332751067338,0.311966249802285
5_Mouse_Brain,miso,0.16087357369820715,0.5678524397026166,0.29050855472198406,0.2885103423017834,0.2842058275952072,0.2905085547219841,0.31374321545696376,0.07457488171763764,0.014770582482597695,0.31710407418365016
