,Shared topic 3,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,Proteomics private topic 4,Proteomics private topic 6,Proteomics private topic 7,Proteomics private topic 8
43,-2.471582,1.7967064,-3.892944,-3.6173053,-1.8430868,-0.7526314,-0.7173464,-0.7056635,-2.8193936
44,-4.4564543,1.8550377,-5.4113283,-5.7330084,-4.2469635,-1.4355929,-1.8790456,-1.4717315,-3.8774831
45,-4.5689154,-5.238694,-4.7495756,-7.459442,-5.9824324,-1.5448632,-1.6453785,-1.3863401,2.478446
46,-5.452478,-5.5448046,-6.2433314,-6.823665,-6.3955593,2.0818083,2.0433967,2.1070235,-5.7412844
47,2.3684728,-2.4146857,-5.84725,-6.473109,-4.3247895,-4.4105854,-4.2960362,-4.0430365,-2.209507
48,-3.6151757,-6.0747848,-5.3613997,-4.8641906,-5.7975163,-1.1125047,-1.4349084,-1.3072033,2.6136901
49,-3.73172,-3.868529,-4.0405207,-6.1675906,2.2756548,-2.6853888,-1.934162,-2.6243258,-3.8633406
50,-2.0829208,1.7661452,-2.119347,-6.223871,-4.239849,-3.1477668,-2.6525345,-2.4022079,-4.6553326
51,-2.2368655,-1.9686033,2.1505525,-4.586149,-2.6884212,-1.6307282,-1.5180578,-1.2358408,-1.5590487
52,-3.4695332,-4.1123962,2.204945,-4.8364105,-2.1583545,-1.7823558,-1.2636416,-1.4815519,-1.8733345
53,-6.5743227,-5.1871066,-6.405251,-6.916917,-6.060891,2.1072054,2.02221,2.1181107,-5.1057367
54,-2.2304401,-6.035035,2.1920218,-4.2732024,-4.5375166,-1.8613893,-1.4417348,-1.5848147,-1.8486915
55,-1.1043043,1.8300178,-3.7398,-6.534152,-4.5135365,-1.6220481,-2.2473412,-2.059248,-2.5616832
56,2.4194577,-3.5105119,-5.907051,-6.6815195,-5.9132442,-3.7669425,-3.4928074,-3.7241588,-4.076144
57,-6.163844,-5.407316,-6.1245203,-6.796918,-3.803154,2.071611,1.969224,2.090342,-5.6306314
58,-4.1029115,-5.189823,2.133759,-5.0168285,-2.3319795,-2.5391781,-1.5581443,-1.7757031,-1.7621454
59,-2.3767467,-1.3035057,2.2061489,-6.0637827,-4.1331515,-1.496516,-1.5730982,-1.5378151,-2.996817
60,-2.3038545,1.8279254,-2.1977742,-6.603636,-4.9174294,-2.7007637,-2.823547,-2.5886717,-2.979985
61,-1.1295313,1.7796791,-4.01908,-5.2082653,-2.1805396,-2.6740103,-1.6803861,-2.205594,-5.841714
62,-1.563606,-2.6896088,2.22313,-4.8560295,-1.9494898,-1.9010344,-2.3034627,-1.6239243,-4.3804417
63,-3.261439,-4.693233,-6.206936,1.8155696,-5.013684,-3.9848065,-2.6581893,-3.2183912,-5.2819624
64,-3.3254488,-4.289769,-6.070079,1.7858562,-4.580923,-1.8771788,-1.5974765,-1.9389645,-1.6371442
65,-0.6497352,1.7469404,-4.340284,-5.3022265,-4.131097,-2.4505563,-1.9220898,-1.6730206,-2.4849129
66,-2.682382,1.7138104,-4.400099,-6.2287273,-4.8428116,-2.8466396,-1.9230797,-1.5103867,-1.1420753
67,-1.7098186,-2.4377372,-3.8226943,1.8872857,-2.9541905,-1.5228715,-1.1432904,-1.6740947,-3.9415884
68,-3.5125012,1.7939761,-4.333044,-5.1018696,-1.4449003,-2.7502441,-1.6162075,-1.9591547,-2.797315
69,-2.725773,1.857064,-4.041581,-4.956363,-0.87064517,-2.1323957,-1.9124326,-1.4760985,-1.0011225
70,-5.1323457,-6.490558,-6.301604,-6.3620787,-5.39427,2.0373473,2.0562754,2.0965917,-5.191489
71,2.4938328,-3.3506775,-6.0888586,-6.3745193,-3.896523,-2.7915184,-2.933113,-2.5311356,-4.0444183
72,-4.859953,-3.1771107,-5.0841236,-5.190151,2.3067312,-3.5032413,-2.4616714,-2.7813735,-1.8176118
73,-3.9569964,-1.6634946,-6.4404335,1.8414376,-3.1917443,-1.5330899,-0.9400823,-0.86205965,-0.9894598
74,-4.753405,-4.9360723,-3.9599578,-6.3928847,-5.980973,-1.1585598,-1.5501785,-1.4285483,2.5748274
75,-5.712065,-5.369065,-6.0011053,-7.2961583,-6.0966806,2.0514724,2.0141304,2.0792992,-5.4098954
76,-3.2573135,-5.7677574,2.1551962,-5.891272,-2.9653187,-0.943581,-1.1888983,-0.7128368,-1.6640389
77,-1.7844832,-1.6392527,-3.4433901,1.8702753,-5.330755,-2.527853,-2.6251945,-2.6382017,-4.9722776
78,-5.09099,-2.047073,-5.9674425,-6.2045536,-4.198106,-2.175171,-1.5582403,-1.762865,2.4766476
79,-4.967144,-4.3950224,-2.067381,1.8310816,-6.2677617,-1.0472884,-1.2589169,-1.9078429,-4.2262335
80,2.4703286,-6.342361,-4.2251177,-5.1657853,-5.433937,-4.40019,-4.4397955,-4.173828,-4.716541
81,-5.719781,-4.7813883,-5.9089804,-7.3271055,-5.8589306,2.044302,1.9557629,2.0179877,-5.55072
82,-3.0683122,-1.4038627,-5.8588305,1.8324714,-3.8023696,-2.0488267,-1.9015082,-1.1977088,-2.3033693
83,-5.504245,-4.5380116,-6.074895,-7.2194586,-6.4003363,2.003804,1.9834476,2.05183,-4.959982
84,-3.016182,1.8450751,-3.2064357,-6.444542,-3.545529,-2.1933277,-1.6282189,-1.4784607,-1.088817
85,-4.8562737,-5.3218265,-6.7089667,-6.529153,-4.085903,2.162761,2.101439,2.1661358,-5.93878
86,-2.6539474,-4.145936,2.2284734,-5.5389414,-1.5623282,-2.5696154,-2.3004012,-2.412591,-2.6125202
87,-4.8672175,-4.703448,-5.182181,1.8159237,-1.5957057,-2.79516,-2.4247806,-2.7918475,-5.453076
88,-4.5710335,-4.9632664,2.1363277,-6.5633163,-3.3740206,-1.5397762,-1.6447092,-1.5897971,-2.2997384
89,-2.9488225,-1.9094434,-5.4213142,-5.1900477,2.228143,-2.6091518,-2.1946788,-1.7883079,-4.532567
90,-1.507453,-2.7950752,-4.7960567,1.7640555,-6.3861322,-2.3540523,-2.128137,-1.3561375,-1.9876531
91,-5.472088,-6.236888,-6.1185446,-6.3713837,-4.7003055,2.069957,1.9963186,2.0528502,-5.1562004
92,-1.7411478,-2.9545932,2.1250186,-5.5862923,-4.5955133,-2.007142,-2.1592002,-2.2600448,-1.6938766
93,-3.1588335,-1.3687651,-3.3970044,-5.7975364,2.2591782,-1.7965341,-2.3586063,-1.9528006,-4.691637
94,-5.300621,-2.367115,-5.928442,1.804054,-2.9337807,-1.7996516,-1.9829607,-1.8531374,-2.6049829
95,-2.4398367,-2.7890913,-4.287198,-6.0949183,2.2759688,-2.266,-2.2102113,-2.0885696,-3.1836066
96,-1.9308286,-2.019717,-5.918884,1.8224647,-2.6681793,-3.0042672,-2.4064124,-2.3553824,-2.4704905
97,-1.8548121,-3.254634,-5.149352,-6.828109,2.241578,-3.1252148,-1.8500768,-1.7576628,-4.1363597
98,2.4926689,-3.7080016,-5.0339737,-6.4319534,-5.37261,-3.3404071,-2.3752017,-2.7075534,-3.8962238
99,-1.8082206,1.7866476,-5.2090726,-4.5389023,-3.4199593,-1.7028693,-1.4728436,-0.78985655,-1.4751558
