,Shared topic 3,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,Transcriptomics private topic 8,Transcriptomics private topic 9
65,-3.4819558,-1.4756831,-4.525396,-3.5840318,-2.9046755,-5.8769197,2.7460501
66,-1.0650502,-2.8954206,-2.7797556,2.4179573,-3.1317039,-4.8984113,-4.6426167
67,2.6369586,-1.0351725,-4.1206064,-5.038119,-2.8752997,-4.712524,-4.545781
68,-5.589742,2.3432682,-4.652147,-0.28340775,-5.515488,-3.7612956,-4.7778506
69,-5.1741195,-0.6275494,2.6439505,-0.6138974,-0.7012616,-3.9889688,-5.3720355
70,-0.9232776,-0.6778364,-1.0432953,-3.3468304,2.5728247,-4.3152747,-4.61516
71,-4.0680413,-1.9030807,-1.5089049,-1.4909637,-2.1649263,-4.8998785,2.5885572
72,-5.442555,-3.239465,-1.2433136,-1.6574181,-5.0212474,-5.116609,2.733938
73,-2.4754665,-2.6933362,2.5538645,-2.1555934,-5.0321116,-5.2713065,-3.7238638
74,2.790935,-3.2147577,-5.283928,-2.8791497,-4.681096,-3.732218,-4.0911694
75,-0.39280188,2.4475,-5.3313084,-1.5831354,-4.0075345,-3.8653564,-5.140207
76,-4.7742596,-3.3687522,-3.927219,-3.3085916,-5.0400734,2.8837266,-3.6441407
77,-3.3865416,-1.9783874,2.572574,-2.4272032,-1.5945907,-4.3312974,-5.112751
78,-1.7178832,-4.1759443,-2.7228367,-4.8768315,2.6506333,-4.762697,-2.3661513
79,-0.7481072,-4.035063,-4.821808,2.445429,-0.44008875,-4.764427,-2.9568858
80,-5.109855,-0.30665588,2.588629,-4.3066053,-4.351924,-4.875684,-4.9529095
81,-3.9794981,-5.3852525,-3.9734075,-3.5492797,2.5785096,-4.191161,-2.494766
82,2.584174,-2.3551497,-4.6086745,-5.4196515,-2.5865674,-4.095898,-4.5021133
83,-4.7222586,-4.8642187,-0.60866034,-0.41119277,2.6842527,-4.4017344,-2.2375307
84,-3.6767433,-0.8073528,-2.432333,2.292013,-2.3235538,-4.899049,-4.929517
85,2.8845916,-0.27002424,-4.7534437,-5.485635,-1.2272482,-3.3558853,-1.9815468
86,-4.951954,2.1834366,-3.053918,-1.9045088,-2.856535,-4.5990286,-1.1137912
87,-3.6264157,-2.8092296,-4.9228063,-5.578427,-1.3199079,-4.7457805,2.5701578
88,-3.918982,-0.46612296,-5.0239806,2.3973234,-4.344266,-5.1164327,-4.0876265
89,-0.06445724,2.098533,-5.3327804,-1.3480601,-2.7951434,-5.2509694,-5.7136536
90,-0.62544286,-0.9305385,2.561392,-4.2366433,-4.3526955,-4.783662,-4.6347857
91,-5.152795,-2.908451,-1.8138244,-1.4792218,-1.2182041,-3.9845622,2.5370927
92,-4.4997635,2.1894348,-4.930024,-5.7608986,-1.2134047,-4.721694,-4.384424
93,-4.190707,-0.8331033,-3.1753032,2.4167995,-5.413885,-3.3981953,-5.7579637
94,-5.2423115,-5.257811,-4.2297554,-4.027548,-3.7522783,3.1030836,-3.3708448
95,-2.286049,-0.8325075,-3.1783686,1.9407568,-4.278265,-3.8797793,-4.4314237
96,-3.4819994,-2.218505,-5.1509504,-4.3092155,-4.619917,-4.973618,2.4884207
97,-4.909571,-2.021149,-2.7346303,-2.8503554,-2.1427183,2.781952,-2.9090505
98,-5.31395,-1.5560784,-5.2562404,-2.5618553,-0.7695599,2.5899746,-3.7961924
99,-1.1798934,-4.186302,-5.5320067,-5.8974648,-5.3706727,2.7912247,-1.7814497
100,-1.044116,-1.7738847,-5.1063533,-5.7019143,-0.7285731,-4.38762,2.4649203
101,-2.7025,2.0184567,-4.5402794,-0.3474777,-1.4424322,-3.7610965,-4.559412
