,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Transcriptomics private topic 6,Transcriptomics private topic 9
50,-1.0068307,-1.5534693,-1.525774,2.451702,-6.0593266,-3.201832,-1.4819244,-3.8415697,-0.5684775
51,-1.1498839,-2.4031706,-5.410362,-4.8311586,-0.3272409,-3.3024886,-3.3606982,2.4402244,-0.21637565
52,-1.7350328,-3.746338,0.096514225,-4.2278285,-4.943222,2.632226,-5.134966,-4.3400006,-0.59117365
53,-6.0490484,-5.682706,2.5748065,-4.389203,-4.2968082,-0.8688852,-2.3270218,-4.3520627,-1.865532
54,-3.435129,2.216302,-1.4655707,-4.9174895,-5.3306413,-4.1928873,-4.3676634,-4.120996,-0.6750648
55,-2.7203445,-3.0810437,-1.8892226,2.509947,-2.0409226,-5.176886,-0.9310417,-3.550589,-0.42845392
56,-0.67319334,-2.4600244,-3.1956742,2.327742,-5.5542927,-5.190145,-3.4167101,-2.5778968,-0.580633
57,2.3359234,-1.5839113,-1.9338562,-4.7936354,-4.9120584,-4.93596,-0.69371897,-4.191676,-4.8900137
58,-0.60217005,-4.830662,-0.9204565,2.6805472,-0.16698837,-3.4306982,-0.96245366,-4.4439945,-0.8516885
59,-4.1396875,2.5081134,-0.28765246,-4.099678,-5.443966,-1.9953023,-0.288523,-4.1220546,-0.62326694
60,-4.337154,-4.713699,-3.977178,-4.2179413,-4.4044285,-2.7675083,-5.1595325,2.2065873,0.7245184
61,-0.6530795,-2.1153398,-5.30698,2.611887,-4.7524524,-4.914353,-0.47345597,-4.491704,-0.6354019
62,-4.5615215,-0.35512605,-3.6038806,2.5522013,-4.4425488,-0.34814847,-3.4139843,-4.8672276,-3.429398
63,-1.095527,-2.0716648,2.332329,-5.7489653,-3.2344737,-5.085732,-1.8024431,-4.2678814,-2.3662043
64,-5.510311,-5.0566783,-4.374464,-5.5910053,2.5100791,-4.8300886,-1.750015,-3.8904166,-2.2317166
65,-4.1023636,-3.7573812,-1.7140583,1.9532251,-5.0026293,-4.982543,-1.2550342,-3.519981,-1.0204217
66,-5.100635,-0.23867223,2.5777051,-4.814105,-4.5741377,-0.8083637,-3.4143112,-3.75413,-1.0483238
67,-3.2083423,2.4600654,-4.00401,-5.797856,-4.747039,-4.824349,-3.7781346,-3.68291,-0.5346066
68,-0.43576258,-1.1404685,-2.7607212,2.4191918,-1.8766576,-2.1261513,-4.1227007,-2.3641467,-0.6796591
69,-5.4577775,2.5614579,-3.959606,-5.130365,-3.4445467,-4.7631454,-2.5863311,-4.2459273,-0.90771693
70,2.5437768,-2.7534704,-4.2227354,-5.894446,-4.044155,-4.3922615,-1.1608359,-2.5268407,-0.5325083
71,-0.6043181,-5.4429674,-1.2989206,2.5691483,-5.454413,-6.3455257,-5.510677,-0.7294013,-0.45643288
