dataset,method,ARI,MI,NMI,AMI,HOM,VME,Average,jaccard_RNA,jaccard_ADT,moranI
4_Human_Embryo,miso,0.2615791166520547,0.529153658355011,0.35283288785752076,0.3478739948653772,0.3136647336307043,0.3528328878575208,0.3596562132030314,0.07832143680687974,0.1852134560054781,0.1821065239829255
4_Human_Embryo,miso,0.29065506574328176,0.5703414982444919,0.3581756214299788,0.35332366601025117,0.338079518681837,0.35817562142997883,0.3781251652566366,0.080581922602047,0.16785747219193292,0.22497238241635392
4_Human_Embryo,miso,0.26105111470540815,0.539757868475974,0.35809455803995377,0.3529351249925929,0.31995055758833496,0.35809455803995377,0.36498063030703626,0.08047134575822441,0.176553129348389,0.21002293124651134
4_Human_Embryo,miso,0.26248164363980914,0.5816095021356912,0.3528180701063112,0.3478066571397615,0.34475881756464194,0.3528180701063112,0.37371546011542106,0.07864622874338127,0.18068630037689937,0.21835112059224643
4_Human_Embryo,miso,0.26471951369041385,0.584966630188777,0.356990368293658,0.3520141031567286,0.34674881169944366,0.35699036829365804,0.3770716325537799,0.07915480174346491,0.18398898857079524,0.2339051281416585
4_Human_Embryo,miso,0.25318921559824775,0.5137328067602528,0.345852768000029,0.34096575237661036,0.3045237644028523,0.345852768000029,0.3506861791896702,0.07678297177854569,0.16842619888952934,0.18828026566966105
4_Human_Embryo,miso,0.2608714604592874,0.5617701776622404,0.3477821450701319,0.34285154287140474,0.3329987242002243,0.3477821450701319,0.36567603255557013,0.08038145214359642,0.16854921308912355,0.22848296028345222
4_Human_Embryo,miso,0.24270465070049121,0.5530059204388341,0.338985056929859,0.33385857719041623,0.32780356327854293,0.338985056929859,0.35589047091133375,0.07804874833731326,0.1853088879445398,0.2032718141051457
4_Human_Embryo,miso,0.2653693366212833,0.5402043737712134,0.36106774498261185,0.3561994417429709,0.32021523111422795,0.3610677449826118,0.36735397886915316,0.08066835531226851,0.16672733230454442,0.1856133649535973
4_Human_Embryo,miso,0.24695905447767508,0.5508341248381917,0.3388218100484711,0.3338375284775936,0.3265161948973178,0.3388218100484711,0.3559650871312867,0.07880124253424486,0.18287690480940785,0.18721552329531863
