Dataset,method,ari,ari_refined,mi,mi_refined,nmi,nmi_refined,ami,ami_refined,hom,hom_refined,vme,vme_refined,average,average_refined,jaccard 1,jaccard 2,moran I,moran I_refined
4_Human_Lymph_Node,spaMultiVAE,0.11824944114325339,0.12280601783669945,0.4283573320336363,0.44251842188149976,0.21695901449947158,0.22427031171427014,0.21210039416937246,0.2194540740113151,0.2539160153759094,0.26231023963367783,0.2169590144994716,0.22427031171427014,0.24109020195351913,0.24927156279862206,0.036103939452838886,0.029648449809177375,0.6053887640498588,0.7212791974397623
4_Human_Lymph_Node,spaMultiVAE,0.13630044039442663,0.1405564962261653,0.42743540028290333,0.43577145250290844,0.2197093073456636,0.22412995534704963,0.21479570262001768,0.21924128528968292,0.2533695248198045,0.25831086002146975,0.2197093073456636,0.2241299553470496,0.24521994713474657,0.25035666745572094,0.03719580793771802,0.031043567408721245,0.6149600591121943,0.7196292443506024
4_Human_Lymph_Node,spaMultiVAE,0.1945382851142502,0.19581237145686223,0.677652333323812,0.683225935933353,0.34714364694511113,0.35010653933228614,0.34304868733263166,0.3460289899199765,0.4016898216049645,0.40499366832374156,0.3471436469451112,0.3501065393322862,0.3852027368776468,0.38837900738308423,0.04910465064386044,0.03713425363301742,0.6236939828772163,0.7408499214657295
4_Human_Lymph_Node,spaMultiVAE,0.13441463892617797,0.13730371714920026,0.45454289224289957,0.46316640310897356,0.2308798385825206,0.23525057145105904,0.22609452608600186,0.23049258170460307,0.26943794674371424,0.27454967789412776,0.2308798385825206,0.23525057145105904,0.25770828019397246,0.26266892045983714,0.03689454789340892,0.030454815699708277,0.586770540913387,0.7115884991201757
4_Human_Lymph_Node,spaMultiVAE,0.12253181099664415,0.12637273465857915,0.4451599165214613,0.45680607751838104,0.2246177813493639,0.2305946046643136,0.2198244052171735,0.22583611819591123,0.26387603002281773,0.27077948789226763,0.22461778134936392,0.23059460466431358,0.2501046209094708,0.256830604598961,0.03524320521103529,0.028576000588774603,0.6395121030655271,0.7511996939483796
4_Human_Lymph_Node,spaMultiVAE,0.12766896147310086,0.13329672871188808,0.4480418448512433,0.46060587236623707,0.2265897245518947,0.23317643772101682,0.22179785300872878,0.22842068579690716,0.26558434152672755,0.2730318802172291,0.22658972455189466,0.2331764377210168,0.2527120749939316,0.26028467375571585,0.03845876627678577,0.03047054018428674,0.5902236498968496,0.7150564122671087
4_Human_Lymph_Node,spaMultiVAE,0.09653474350107309,0.09913121947932672,0.39366360071118034,0.39607686955319,0.20470619255713682,0.20622442970307114,0.19964467345931936,0.20116619308056014,0.23335072243672222,0.2347812281443864,0.20470619255713682,0.20622442970307112,0.22210102087042807,0.22393406161060092,0.03354576734837584,0.025996935529812387,0.5171526451014882,0.6215767615734566
4_Human_Lymph_Node,spaMultiVAE,0.20571456686426887,0.20958229504749648,0.7235751667645297,0.7301991659988749,0.3727200914724293,0.3763676387844306,0.36876343494002845,0.37243152442133187,0.42891135374655276,0.43283784073687215,0.37272009147242924,0.3763676387844306,0.4120674508767064,0.41629768396223943,0.05015666412857733,0.03852136079755739,0.6360079222014086,0.7341398303292243
4_Human_Lymph_Node,spaMultiVAE,0.13387970634072868,0.13605516972993953,0.5404101601927954,0.5453654004732682,0.2736678415356664,0.2763064164760434,0.2691624461870614,0.27181538314630727,0.32033721447783353,0.323274516522541,0.2736678415356664,0.2763064164760434,0.3018542017116253,0.3048538838040238,0.04428071304959562,0.03533377671817587,0.6144398007795351,0.7270636020841552
4_Human_Lymph_Node,spaMultiVAE,0.12342562530384178,0.12548735678379178,0.43114896554127596,0.437238293045147,0.21749456576252335,0.22076125590259416,0.21265831761606346,0.21594100926500584,0.25557080310484703,0.25918035443144943,0.21749456576252335,0.22076125590259416,0.2429654738485125,0.24656158755509708,0.03635539121557537,0.029254986447804394,0.6230558952440998,0.7379641410654342
