Dataset,method,ari,mi,nmi,ami,hom,vme,average,jaccard 1,jaccard 2,moran I
4_Human_Lymph_Node,CellCharter,0.14515878857298703,0.5927176538456276,0.30268669201827786,0.2983283015460331,0.35134336137760197,0.30268669201827786,0.33215358156313424,0.06924345022136527,0.10417969973653372,0.624678874067706
4_Human_Lymph_Node,CellCharter,0.18101896758663838,0.6007903855330962,0.3276893534801716,0.3232390373842327,0.3561286089034221,0.3276893534801716,0.35275928439462206,0.07055873181586782,0.10579850557782734,0.6257325682869558
4_Human_Lymph_Node,CellCharter,0.143775519486406,0.5297448227811764,0.27185787616312,0.26728393368840886,0.31401515629024246,0.27185787616312007,0.2997558640954123,0.07012182313913208,0.10387122471328139,0.5289881162030335
4_Human_Lymph_Node,CellCharter,0.1933810241560156,0.6581311205851498,0.3435876631859896,0.3393916151900626,0.39011829432335066,0.34358766318598954,0.3780328967710929,0.06898127534800476,0.10053784463770163,0.6325056330745567
4_Human_Lymph_Node,CellCharter,0.16215540751514873,0.5636773147234584,0.2900619338842014,0.2855871853114443,0.33412921177951055,0.2900619338842013,0.3209454978496608,0.0719476672226824,0.10527071335942141,0.5832524679205036
4_Human_Lymph_Node,CellCharter,0.21895574840207077,0.7103016723216945,0.3773520626711555,0.37331589806771603,0.4210432665982876,0.3773520626711555,0.41305345178867997,0.07090873435681018,0.10349588066287017,0.6917798986702602
4_Human_Lymph_Node,CellCharter,0.15725073565484265,0.5714619219262672,0.3012994556028728,0.2968097856273444,0.33874366866955535,0.30129945560287286,0.32781083718062587,0.0696593195930745,0.1033377474083105,0.6476046208282541
4_Human_Lymph_Node,CellCharter,0.14823329758268114,0.5743458418503056,0.2985705622985841,0.294107176789466,0.34045316072446785,0.2985705622985841,0.32571343359068144,0.06979022374131691,0.10096977988698087,0.6045638344787837
4_Human_Lymph_Node,CellCharter,0.2018815604255599,0.6792816737605728,0.3515757660260833,0.3474666348069504,0.4026556405613695,0.35157576602608337,0.3890728402677699,0.0709699933364609,0.10469233973700882,0.6486317228127578
4_Human_Lymph_Node,CellCharter,0.143386888936449,0.5188447086440975,0.2689992728665849,0.264356309121715,0.30755393024868055,0.2689992728665849,0.29535673044735195,0.06694699560891423,0.09653627835403718,0.5504266066164032
