Shared topic 2,Shared topic 3,Shared topic 6,Shared topic 7,Shared topic 10,Transcriptomics private topic 3,Transcriptomics private topic 6,Transcriptomics private topic 8,Transcriptomics private topic 9,Transcriptomics private topic 10,Proteomics private topic 2,Proteomics private topic 4,Proteomics private topic 5,Proteomics private topic 6,Proteomics private topic 7,Proteomics private topic 8
-0.5444337,-0.073286824,-0.54836226,1.0559878,0.223569,-0.31926948,-0.16062488,-0.06487904,-0.23807107,-0.20492336,-0.29285154,-0.10650477,-0.08312114,-0.21758205,-0.17750707,-0.2626607
0.09459512,-0.17670539,0.54794717,0.09356658,0.5704109,0.84082323,4.916388,2.7641618,-0.0060287723,-0.44765308,0.13140637,-0.12491366,-0.14052516,-0.24647923,-0.18128708,0.12887433
-0.70108306,0.08134408,0.21083769,-0.018905401,0.048569784,-0.20233421,-0.18387936,-0.34436774,-0.17520213,-0.26026616,-0.61673856,-0.5684955,3.995905,-0.52217627,-0.45598108,-0.61090493
-0.08272643,-0.31118414,0.14823736,0.29573527,-0.22110534,-0.27167216,0.9163885,0.29168025,-0.256355,-0.2908793,-0.25481713,-0.15420379,-0.08145058,-0.22536401,-0.21359555,-0.28082892
-0.27510613,-0.3043555,-0.4364596,0.046800762,-0.24891204,-0.41165555,-0.15017228,-0.6324892,-0.34264475,-0.051171564,-0.18765393,-0.10403332,-0.24064137,-0.30833045,-0.10910643,0.030896923
-0.2286269,0.062067047,-0.32460347,-0.23055771,-0.3020139,-0.25785863,-0.109218545,-0.43567285,-0.2604422,-0.112308845,-0.27713105,-0.2758346,-0.17108104,-0.35040662,-0.37082475,-0.2627259
-0.072622135,-0.13276236,-0.12647128,-0.66151285,-0.117200404,3.567534,-1.0571411,2.5610106,3.6860535,-1.1866326,-0.39863858,-0.30598906,-0.37142503,-0.35281515,-0.37948322,-0.3868327
-0.23032914,0.19699456,-0.80702096,-0.65495586,-0.43942708,-0.35398751,-0.16740231,-0.3599402,-0.2951386,-0.22144423,0.16794263,-0.3671973,-0.30261913,0.3492253,-0.20352444,-0.6923819
-0.008511299,-0.45537162,0.23078173,4.0153103,0.16148004,-0.2606731,-0.29465753,-0.16848914,-0.16213152,-0.23043247,0.4180306,-0.16813692,-0.6341861,0.259857,-0.0596647,-0.2882802
-0.3105567,-0.11735891,-0.041696593,-0.1382862,-0.24258813,-0.3765942,-0.11082216,-0.52245134,-0.35581622,-0.039239764,-0.43695697,-0.53156406,-0.2000861,-0.5475855,-0.609498,-0.38362974
-0.1871376,0.30218118,-0.74335945,-0.6938072,-0.9761944,-0.277993,-0.299589,-0.40667206,-0.28025964,-0.19980358,3.5063071,-0.35284793,-0.3349042,-0.66437334,-0.25461134,3.607838
-0.15090936,0.0023566186,0.031355694,-0.16156818,-0.15858498,0.36283126,-0.39094758,-0.12440112,0.02524331,-0.37164003,-0.351784,-0.4712216,-0.19074126,-0.39153317,-0.5259819,-0.5118195
-0.3116563,-0.2570257,-0.07624468,-0.23318921,-0.2612065,-0.38236275,-0.16599713,-0.57696056,-0.3148178,-0.106415644,-0.23497298,0.20765558,-0.036458105,0.022418905,0.16267647,-0.11860228
-0.72757095,-0.38258106,0.16010278,0.22861585,-0.50946605,0.037042666,-0.31951937,-0.15177833,0.09848164,-0.2509168,-0.65371865,-0.6908873,-0.014051049,-0.6982934,-0.5960449,0.026984777
-0.3056871,-0.3918621,-0.5336237,0.07472949,-0.043440558,2.8079815,-0.8158935,2.3825638,3.406754,-1.1088065,-0.17408624,-0.06481647,0.0018832976,-0.19861719,-0.15231577,-0.17569415
-0.26184413,-0.31032866,-0.31461734,-0.14271551,0.09996571,2.1219647,-0.6033059,3.3799732,2.290653,-0.77993906,0.20521215,-0.42793995,-0.33655524,0.27509215,-0.37725553,-0.8168964
-0.17693095,-0.03635381,-0.27313888,-0.0093902275,-0.2751361,-0.31245425,-0.27778438,-0.5470761,-0.28484413,-0.07763348,-0.25044098,1.2261269,-0.31348094,1.3343402,1.181209,-0.47444242
-0.29627845,-0.072861075,-0.14933015,-0.35349235,0.22962806,-0.28479907,-0.28396508,-0.4666201,-0.2456086,-0.037887555,3.5466156,-0.42882094,-0.30262893,-0.7018303,-0.33677766,3.6569445
-0.027541481,0.4378949,0.13007909,0.06753552,0.32988748,-0.17934154,0.061253257,-0.10807691,-0.263441,-0.22867638,-0.31396797,-0.3345856,-0.16920817,-0.2979058,-0.42600408,-0.52373636
-0.16119786,-0.05776817,-0.17985344,0.014685027,-0.24371073,-0.2806093,-0.3179616,-0.42804185,-0.17590202,-0.18510537,-0.6749333,-0.5318852,3.9408565,-0.47391915,-0.458981,-0.68233544
