,Shared topic 2,Shared topic 3,Shared topic 6,Shared topic 7,Shared topic 10,Proteomics private topic 2,Proteomics private topic 4,Proteomics private topic 5,Proteomics private topic 6,Proteomics private topic 7,Proteomics private topic 8
36,1.7435145,-4.997264,-1.9020616,-3.2025182,-4.8752794,-1.0100367,-0.78817654,-3.8950136,-1.1760594,-1.0542623,-1.514831
37,1.9648664,-3.4483757,-3.5218463,-2.577588,-1.1794367,-0.75275993,-1.4114586,-2.3823833,-1.5850358,-1.7858154,-0.86838174
38,-4.801213,1.7803204,-1.3437805,1.7309036,-3.8490665,-0.85617876,-1.1497042,-3.2245536,-0.9857526,-0.8670478,-1.1755342
39,-6.0569596,-3.96526,-2.2536573,-4.4752865,-3.2753198,-2.1709023,2.151425,-6.0887594,2.0597198,2.0367436,-2.3293545
40,-5.058714,-4.071529,1.6934216,-3.8910813,1.8261445,-2.3182788,-2.4978743,-5.675561,-2.570779,-2.3971221,-2.814999
41,-5.463094,-5.3627915,-1.2142147,-4.286604,-3.2818606,2.064775,-2.3956566,-5.2819533,-2.5864031,-1.6847776,2.383116
42,-6.6035147,-3.4105628,-5.115719,-2.7277071,-4.670146,-4.6707563,1.9652712,-6.043314,1.8363109,1.897779,-4.34237
43,1.8877597,-3.7256052,-1.5174485,-3.5268035,-1.7421734,-1.308435,-1.4381876,-4.3420486,-1.6251798,-1.7980872,-1.1255875
44,1.7358968,-3.8526402,-2.276814,-2.353631,-3.541667,-1.1361005,-1.326278,-2.3594906,-1.444252,-1.6041963,-1.2601647
45,-5.2104335,-5.5621085,1.9345138,-4.7278337,1.9370642,-0.942279,-1.4850017,-5.8376966,-1.8505552,-1.5872164,-0.65377855
46,-6.5205626,-6.366317,-2.8978467,-5.7077713,-1.9616954,-3.158972,2.0083988,-6.1856604,1.8397245,1.895056,-3.97256
47,-6.2891984,-4.7013474,-1.2748299,-3.712305,-3.6031168,2.0747097,-2.711961,-6.0835915,-2.8101618,-2.6747208,2.276791
