,Shared topic 2,Shared topic 3,Shared topic 6,Shared topic 7,Shared topic 10,Transcriptomics private topic 3,Transcriptomics private topic 6,Transcriptomics private topic 8,Transcriptomics private topic 9,Transcriptomics private topic 10
45,-3.5714316,-2.0461266,-1.3598045,-2.7048357,-1.9887406,-3.27004,2.1721687,-0.54655796,-3.9689677,-4.4144177
46,-3.8797932,-1.6937518,-2.285995,-2.1798081,-4.049696,-3.6410646,2.271914,-0.47225884,-4.152813,-3.8433893
47,-2.8171632,-3.3810527,-1.8979969,-2.3056505,-3.221567,-3.9544005,2.683032,-0.5990363,-3.1347375,-4.1071663
48,-4.550666,1.8195803,-3.5576062,2.089415,-4.2104235,-3.961455,-4.1294374,-0.69922835,-3.3085737,-4.0874395
49,-4.969784,-4.5710487,2.472706,-3.360846,2.522681,-4.17947,-2.40183,-0.81029856,-3.7996197,-4.0041447
50,-4.8475266,-4.4982023,-1.0989118,-2.458346,-4.484083,-4.721391,2.525043,-0.63655674,-3.5323646,-4.690326
51,-3.8583562,-3.2390406,-3.4988563,-1.5712829,-4.1590557,-4.1333447,2.3093276,-0.5839326,-3.8853025,-4.4540763
52,-4.5777354,1.8587236,-2.7174807,2.0064888,-3.5741556,-4.40857,-4.0248933,-0.5843067,-4.213208,-4.782531
53,-5.8638773,-2.4103703,-1.2834358,-2.5284677,-1.7153735,-2.800426,-3.7503507,-0.63848525,-2.304426,2.386621
54,-4.696509,2.1989849,-1.1815977,2.5593266,-2.3695078,-4.37131,-3.163128,-1.6104577,-3.9659653,-3.9260578
55,-4.65005,-2.0656714,-2.0451193,-1.1383873,-3.4124787,-4.058528,2.6848826,-0.7202757,-3.9455557,-4.234585
56,-4.7753253,-0.69303447,-2.058422,-2.583545,-2.5026944,-3.2256458,2.5597587,-0.5561059,-2.9806383,-4.016436
57,2.1528432,-2.32548,-2.1772554,-4.2029657,-1.470791,-3.3173084,-3.1691103,-0.4613434,-3.3844292,-3.5639904
58,-4.5770106,-1.12287,-2.6357765,-4.9409647,-3.484597,2.3709576,-3.8911107,-0.48720032,2.1087584,-4.3102064
59,-4.0986757,1.9303362,-2.4413838,1.9958622,-2.135703,-4.1027136,-4.7144456,-0.64014053,-3.8909106,-4.2982063
60,-3.9734106,-2.4350514,-3.2405381,-2.1375022,-1.1091192,-3.3566256,2.551433,-0.5371523,-3.0614386,-4.0807953
61,-5.025875,-0.39813668,-3.5880084,-2.0513334,-3.882002,2.2671456,-4.6354785,-0.73618233,2.535341,-4.6825647
62,-5.016693,-1.3506197,-4.1968384,-1.7828158,-4.8356977,2.5769317,-4.462359,-0.567925,2.4324791,-3.374434
63,-4.659195,-2.595892,-4.017762,-4.691935,-2.9659169,-3.840052,-3.274706,-0.9781699,-4.1837797,2.7631288
64,-4.5789356,-1.0679885,2.3085365,-1.3985279,2.3684485,-4.3066053,-3.1700897,-4.19576,-4.3910866,-4.6378307
65,-4.290415,-3.5904427,-2.5040498,-2.969581,-3.8497107,2.2054744,-3.451913,-0.41279382,2.3993754,-4.2855616
66,-4.180367,-1.8263692,-2.9513757,-3.9722483,-4.49438,2.6263473,-3.420363,-0.6392764,2.0922663,-4.082709
67,-3.3448732,1.7769539,-1.0553074,1.8722703,-3.1468766,-3.9059293,-3.6125708,-0.60343856,-4.145259,-4.19783
68,-4.0955114,-0.04747641,-1.9625098,-3.4566536,-1.3657885,-3.9792757,2.2765794,-0.5808156,-3.6321871,-4.2566895
69,-4.3359776,-0.63964,2.1347795,-3.5161452,2.1512399,-2.8311698,-4.2960024,-2.7397935,-3.745836,-4.1848783
70,2.0066895,-1.4233379,-1.8313693,-4.6080966,-2.8290985,-4.495011,-3.0922525,-0.52612185,-3.9117012,-3.4083226
71,-4.5908513,-0.61129373,-1.9913626,-1.3342843,-3.7091858,2.2802582,-4.1102066,-0.5733196,2.294784,-3.7385745
72,-5.5086203,-2.46594,-3.1248577,-3.2681754,-3.4347086,2.2687771,-4.1557674,-0.56058043,2.6164286,-4.3427973
73,-3.2589562,-3.989427,2.1962368,-1.7546006,2.1406171,-3.7763736,-3.5841231,-0.98304653,-3.4439702,-4.4064884
74,-3.8827143,2.0550687,-2.4976935,2.2244918,-3.1295364,-3.99858,-4.1733694,-2.2005224,-2.731331,-4.506985
75,-4.3381014,-2.4398346,-1.6206061,-2.7778022,-2.6911764,-3.729513,2.585155,-0.5912953,-3.6180506,-4.5876064
76,-4.82623,-1.2039617,-1.4551234,-2.6864245,-4.2137246,-3.3549511,-3.8557901,-0.54051715,-3.8934853,2.238319
77,-4.4974604,-1.9479777,2.2116807,-1.3888359,2.4281874,-3.5249014,-3.8455088,-0.8188724,-4.4264097,-4.0490694
78,2.4174345,-1.7027224,-2.2101183,-2.3444011,-3.420159,-4.1102643,-3.65877,-0.5588878,-4.0487204,-4.37642
79,-3.2218652,-4.4956813,-3.644926,-3.5866075,-4.3155613,-3.744926,-3.9680097,-0.78309464,-3.1552737,2.5352702
80,-3.2132857,-0.923491,2.0636566,-2.2651172,2.1220002,-3.306332,-2.0880165,-0.64076453,-4.2170415,-3.2948592
81,2.5021603,-0.52427495,-2.2593064,-2.416843,-3.0954046,-4.2621546,-3.5915172,-0.60013515,-3.2283127,-4.1958523
82,-4.255197,1.5758297,-3.9458342,2.1893883,-4.3839855,-4.884297,-3.643327,-4.3132086,-4.3275633,-4.470205
83,-4.0955105,1.9725013,-1.6338253,2.0451944,-3.2079551,-4.426704,-2.0966315,-0.65159565,-3.787526,-4.7573905
84,-4.6986256,-2.0515094,-3.1146705,-3.5748487,-3.9350781,-3.8965213,-3.9030209,-0.7887331,-3.1448574,2.6404755
85,-4.2756343,1.8154824,-1.1269,2.308977,-2.9997199,-3.4337168,-3.4567542,-0.7062394,-3.6047962,-3.9065526
86,-4.545959,-1.2527649,-1.9316608,-3.0762248,-2.2397704,-3.9008224,2.1919327,-0.53020275,-3.5870886,-2.9959285
87,-3.4504817,-2.7645805,-2.498188,-4.0773726,-4.246004,2.0843716,-4.1180716,-0.64735645,1.8847256,-4.5834713
88,-5.0550065,-2.0436246,-3.562221,-4.121294,-3.5573585,-3.5351548,-4.1084576,-0.44723883,-3.5453353,2.433725
89,-4.6004767,-1.124403,-3.0081713,-3.1342878,-3.0798855,-4.1863384,2.586864,-0.42253986,-4.0605545,-4.1913757
90,-4.149551,-0.7924444,2.1208074,-2.2074845,2.3490396,-4.3540106,-4.1880445,-0.7995673,-4.194026,-4.229493
91,-4.063569,-2.87527,-0.9029677,-3.2337973,-2.693414,2.138572,-3.862037,-0.2601015,2.2457974,-4.3485107
92,-3.349082,-1.2527341,-3.3994465,-3.2763402,-3.7951314,-4.309202,2.6462374,-0.6040385,-3.7573266,-3.3541973
93,-4.5025625,-0.87102413,-3.3266547,-3.052502,-2.7451804,-3.4284427,-3.172737,-0.607103,-3.864396,2.5292177
94,-4.820274,-2.3117046,-3.6229074,-2.928969,-3.966171,-3.6902838,-3.7200065,-0.6867863,-3.5137317,2.8488522
95,-4.0235243,-3.6112669,-3.0782225,-3.6619582,-1.8296461,2.2747467,-4.1919794,-0.42798346,1.4600332,-3.54262
96,-3.956458,-2.0907373,-4.118572,-4.276268,-3.3312428,2.2023892,-4.3404164,-0.5266219,2.2280395,-4.5286703
97,-5.030522,-4.561652,-1.9537358,-3.436877,-1.3898194,-3.7023685,-3.364631,-0.64034843,-3.951458,2.4725647
98,-4.555769,-2.694534,-3.2082717,-3.3582983,-2.282263,-3.8741682,-3.8735347,-1.283844,-3.7068784,2.8349745
99,-4.228081,-3.1313756,-3.4730327,-4.1471434,-3.48863,-3.381794,-3.837237,-1.3458536,-3.913448,2.5165455
100,-4.788135,-1.6132953,-3.5694706,-2.9050143,-3.9816236,2.3948038,-4.0710325,-0.5662367,2.5338438,-3.8260736
101,-4.566069,-1.4344019,-1.9331946,-2.3646667,-2.8597085,-3.991451,2.3106735,-0.5018006,-3.790405,-4.015516
102,-5.031629,-1.8900135,-3.476656,-4.3260403,-3.9359791,2.6440573,-2.735235,-0.6723553,2.6016173,-4.661792
103,-4.4587803,1.5535648,-2.2831378,2.1172006,-3.2603881,-4.696329,-3.8511753,-0.5362108,-3.6702178,-4.2382283
104,-3.5394392,-3.7901118,-3.9885087,-1.9006364,-3.367823,-3.8483977,2.7000606,-0.45032918,-4.25257,-3.6524801
105,-4.398591,1.6720881,-1.7853997,2.1202102,-2.9118595,-4.1257305,-2.7854822,-0.6504963,-3.722413,-3.7556944
106,-5.197999,-4.7965155,-3.638576,-2.6057577,-3.7260783,-3.798615,-3.91762,-0.56279695,-3.7607691,2.7506418
